"","Box_1","Box_13","Box_14","Box_7b"
"mean_bio_1",13.4976697051072,13.0246270375754,13.7661260967654,13.6819976132983
"median_bio_1",13.9127506290873,13.3641584591988,14.3151318737156,14.3286446856561
"var_bio_1",15.2616663910405,15.0880140938307,15.2071753604093,15.5414502727084
"sd_bio_1",3.89869379882953,3.87866953291182,3.8904234003969,3.93229473960162
"max_bio_1",23.7692961792151,23.5066220699213,23.8998586169922,23.7187085731007
"min_bio_1",-0.709207055469356,-1.14575002743648,-0.624601541303141,-0.941690049438835
"mean_bio_4",583.378532474756,594.119328563822,580.577457683089,585.704088063218
"median_bio_4",607.639283816019,622.381769424829,605.265491295914,616.29540730414
"var_bio_4",15920.5289413996,16046.8129642853,16076.1859598926,16684.6670022629
"sd_bio_4",126.154540250433,126.651335939935,126.749032688934,129.07221811544
"max_bio_4",938.474494934082,958.831726074219,930.876737647294,928.215848263179
"min_bio_4",163.205001831055,163.205001831055,163.205001831055,163.205001831055
"mean_bio_5",30.9236761869227,30.6828288262151,31.1189608063067,31.0988817174976
"median_bio_5",31.0164613376061,30.6957055849907,31.2528842667848,31.2207900163169
"var_bio_5",19.7558303842862,19.817690671947,19.7012051893828,20.1788073217933
"sd_bio_5",4.44256629690893,4.44943845233029,4.4359635675899,4.4878279317428
"max_bio_5",45.0439429481824,45.3226031278953,44.9393621518467,44.8134211959126
"min_bio_5",16.3947347253561,15.8238464502188,16.5877379501722,16.2790470568933
"mean_bio_6",0.554703607394952,0.0124064215571785,0.788799598393974,0.578434008204945
"median_bio_6",1.25596355895201,1.00624360182347,1.40211327760918,1.36747664268886
"var_bio_6",13.9190710581751,14.600444619623,13.6603628045105,14.8168837683198
"sd_bio_6",3.72162929559916,3.80901021946465,3.68657000352779,3.83123303688313
"max_bio_6",9.36046475668748,8.85280895233154,9.45211603628338,9.05850367679774
"min_bio_6",-13.0123229374488,-13.7999999951094,-12.86476249326,-13.474364548086
"mean_bio_12",707.657496108753,717.900574498813,683.129379630884,642.07574800033
"median_bio_12",542.234375,560.897435897436,524.792817679558,507.766355140187
"var_bio_12",244745.350453431,233981.876485482,228326.400765201,186915.065258099
"sd_bio_12",487.279910857684,477.015570416625,468.167104059791,418.069200472834
"max_bio_12",2471.82291666667,2469.62820512821,2340.31491712707,2122.22429906542
"min_bio_12",59.9739583333333,62.3461538461538,59.1243093922652,61.7383177570093
"mean_bio_13",128.227424408737,129.245833423605,124.489945679332,117.139428014313
"median_bio_13",103.307291666667,105.358974358974,100.82044198895,97.1869158878505
"var_bio_13",7261.56256659952,7012.99585549373,6803.76132591749,5670.49429759934
"sd_bio_13",84.230627030805,82.8017612786386,81.1760622126385,73.207283669706
"max_bio_13",424.447916666667,424.051282051282,403.812154696133,369.261682242991
"min_bio_13",11.1458333333333,11.5128205128205,11.0662983425414,11.5607476635514
"mean_bio_14",4.94073286104752,5.26946763547202,4.51156454261988,4.21631202266922
"median_bio_14",2.34895833333333,2.83333333333333,2.01933701657459,2.01869158878505
"var_bio_14",36.5627547521999,36.0059359498018,32.7432870438391,27.1751624184289
"sd_bio_14",5.84205066769602,5.80356969116362,5.51073067605143,5.00596204711356
"max_bio_14",33.4010416666667,33.6153846153846,31.3121546961326,28.5700934579439
"min_bio_14",0,0,0,0
"mean_bio_15",78.9337286192842,77.8442887636465,79.6692941590227,79.5050757819283
"median_bio_15",81.2216649452845,80.445804302509,81.9416205263928,81.9009531324155
"var_bio_15",177.150618487768,173.217803394231,171.992027313499,160.662365193514
"sd_bio_15",13.2579261942039,13.1233196617668,13.0581694910071,12.630776623065
"max_bio_15",113.653703053792,108.915161132812,114.509191017783,110.835149176767
"min_bio_15",29.9140327175459,24.9177222129626,32.9992049517553,33.5375043922496
"AdultBodyMass_g",310.566302083333,299.45282051282,266.04770718232,225.593551401869
