"","Box_1","Box_13","Box_14","Box_7b"
"mean_bio_1",13.5864532635468,13.4387520886174,13.7893591221533,13.8154111397783
"median_bio_1",14.080243829429,13.9421619764015,14.343047560824,14.4085537637434
"var_bio_1",22.6571796589943,25.6577662427071,20.4205595386403,24.2667855661733
"sd_bio_1",4.67233383019581,4.98529278117908,4.44016233248864,4.8523316283555
"max_bio_1",24.4785614576312,24.6681623790988,24.384634850177,24.6773040909921
"min_bio_1",-1.88104761596275,-2.54072767377493,-1.42811692341437,-2.08881842657443
"mean_bio_4",654.820061040497,688.716958881776,633.092868629221,674.242289553912
"median_bio_4",685.581011296725,723.756927034748,662.217419742198,709.084843174104
"var_bio_4",28964.3224362171,34587.4481508398,24741.2606902366,30782.23098039
"sd_bio_4",164.243413723113,180.653586494961,152.242181766206,170.463633720545
"max_bio_4",1052.62735606506,1108.49314462842,1011.98309851943,1067.31432933192
"min_bio_4",140.357355438503,130.395178666755,148.595492716586,139.442087696445
"mean_bio_5",31.59458714467,31.7768572536449,31.5959263302022,31.9948304045965
"median_bio_5",31.7697301853371,31.9538805852482,31.7771368580365,32.2056835735998
"var_bio_5",18.9784716171076,18.6397104717062,19.2028412594147,19.0600009160519
"sd_bio_5",4.35364610720477,4.31504566464804,4.37919416890721,4.36213289304871
"max_bio_5",45.3102158853086,45.5278465688525,45.1708338233862,45.2936056506249
"min_bio_5",15.1224543703693,14.3796815516344,15.6936294202055,14.9941129761357
"mean_bio_6",-1.34953161908753,-2.35514089668654,-0.613222389041182,-1.69500631504168
"median_bio_6",-0.664228591947078,-1.55818778928833,0.00873784692992864,-0.995324582822862
"var_bio_6",30.2383281819535,37.3530521787265,25.1562991037221,33.8212722755581
"sd_bio_6",5.21871565981501,5.87867601129465,4.756253557998,5.58939123947957
"max_bio_6",10.7126557201059,11.0693738567295,10.4268203567476,11.0009473677604
"min_bio_6",-16.79379076381,-18.6577216665543,-15.6976630696643,-18.1064356642385
"mean_bio_12",574.169081108494,523.124316891334,590.336115326124,499.947666913518
"median_bio_12",469.778761061947,447.671641791045,473.625468164794,424.395161290323
"var_bio_12",154415.186565385,112362.087670383,168106.784760478,105274.898039412
"sd_bio_12",358.000244741705,299.476689539751,381.834298195624,296.818473046425
"max_bio_12",2458.76991150442,2450.72388059702,2359.16853932584,2263.97983870968
"min_bio_12",53.9144542772861,52.3432835820896,54.8970037453184,52.7903225806452
"mean_bio_13",104.453420210709,95.0792984058881,107.74748653638,91.4750985064379
"median_bio_13",88.0825958702065,82.726368159204,89.7209737827715,79.1290322580645
"var_bio_13",4871.55204178389,3772.35413652885,5224.85983281251,3563.91617530426
"sd_bio_13",65.7767442688071,57.4417015136179,68.9739049024453,56.5985702185252
"max_bio_13",441.837758112094,449.067164179104,419.494382022472,412.758064516129
"min_bio_13",10.2153392330383,9.97512437810945,10.4007490636704,10.1048387096774
"mean_bio_14",6.92347971401518,7.87286859455859,5.9932359201916,6.87107360741002
"median_bio_14",4.75811209439528,5.94029850746269,3.82958801498127,5.12903225806452
"var_bio_14",45.6509134839268,49.072754711521,39.5822987782381,41.1665752556408
"sd_bio_14",6.58944681504416,6.87988082897916,6.08726850411823,6.22137773743331
"max_bio_14",45.0973451327434,50.0174129353234,40.1179775280899,45.1209677419355
"min_bio_14",0,0,0,0
"mean_bio_15",71.9068585798264,68.6310265665705,74.168502480213,69.869191789454
"median_bio_15",73.3021255706967,69.7798717603161,75.8023914737201,71.087327887935
"var_bio_15",356.863275753793,428.645790810421,309.194389875358,410.974006502572
"sd_bio_15",18.0553281895826,19.9639492389609,16.7274361658378,19.3847021309993
"max_bio_15",124.325229520995,126.874622857393,122.1604077057,126.429522114415
"min_bio_15",19.4710756797003,13.2137626225676,24.4212662200356,18.2506572085042
"mean_ndvi",3791.2224670332,3477.60693312145,3946.83556190761,3438.50431792604
"median_ndvi",3727.74496066863,3375.98683665008,3902.14403870162,3324.57694892473
"var_ndvi",2473720.97100407,2025612.70839427,2685327.5793179,2115974.53594508
"sd_ndvi",1532.43114258327,1392.21445063233,1603.7901461049,1427.88236479337
"max_ndvi",8134.89331366765,8070.28358208955,8135.21129837703,7997.57661290322
"min_ndvi",542.510078662733,467.701077943615,585.29556803995,466.635080645161
"AdultBodyMass_g",534.432949852507,634.505323383084,415.129194756554,488.097217741935
