"Lab_Number"	"Catalog_Number"	"Box"	"Grid"	"Level"	"Identification"	"NISP"
"33466_JG-079"	"LACMP23-36074"	"1"	"B-2"	"9"	"Eschscholzia californica"	"1"
"33466_JG-080"	"LACMP23-36075"	"1"	"B-2"	"9"	"Juniperus californica"	"2"
"33466_JG-081"	"LACMP23-36076"	"1"	"B-2"	"9"	"Galium andrewsii"	"1"
"33466_JG-082"	"LACMP23-36077"	"1"	"B-2"	"9"	"Galium trifidium"	"1"
"33466_JG-083"	"LACMP23-36078"	"1"	"B-2"	"9"	"Juniperus californica"	"1"
"35984_JG-084"	"LACMP23-37483"	"1"	"A-1"	"1"	"Juniperus californica"	"2"
"35984_JG-085"	"not cataloged"	"1"	"A-1"	"1"	"Cornus sericea"	"1"
"35984_JG-086"	"not cataloged"	"1"	"A-1"	"1"	"Rocks"	"3"
"35984_JG-087"	"LACMP23-37484"	"1"	"A-1"	"1"	"Juniperus sp."	"4"
"35984_JG-088"	"LACMP23-37485"	"1"	"A-1"	"1"	"Charcoal"	"1"
"35984_JG-089"	"not cataloged"	"1"	"A-1"	"1"	"Juniperus sp."	"5"
"35984_JG-090"	"LACMP23-37486"	"1"	"A-1"	"1"	"Juniperus sp."	"44"
"35984_JG-091"	"not cataloged"	"1"	"A-1"	"1"	"Lathyrus vestitus"	"1"
"35984_JG-092"	"LACMP23-37487"	"1"	"A-1"	"1"	"Juniperus sp."	"35"
"35984_JG-093"	"LACMP23-37488"	"1"	"A-1"	"1"	"Juniperus californica"	"21"
"35984_JG-094"	"not cataloged"	"1"	"A-1"	"1"	"Pinus ponderosa"	"1"
"35984_JG-095"	"LACMP23-37489"	"1"	"A-1"	"1"	"Platanus racemosa"	"6"
"35984_JG-096"	"not cataloged"	"1"	"A-1"	"1"	"Stachys albens"	"2"
"35984_JG-097"	"LACMP23-37490"	"1"	"A-1"	"1"	"Juniperus californica"	"2"
"35984_JG-098"	"not cataloged"	"1"	"A-1"	"1"	"Pinus radiata"	"1"
"35984_JG-099"	"LACMP23-37491"	"1"	"A-1"	"1"	"Juniperus californica"	"2"
"35984_JG-100"	"not cataloged"	"1"	"A-1"	"1"	"Arctostaphylos viscida"	"1"
"35984_JG-101"	"not cataloged"	"1"	"A-1"	"1"	"Cirsium scariosum"	"1"
"35984_JG-102"	"not cataloged"	"1"	"A-1"	"1"	"Papaver californicum"	"1"
"35984_JG-103"	"not cataloged"	"1"	"A-1"	"1"	"Pinus sp."	"0.5"
"35984_JG-104"	"not cataloged"	"1"	"A-1"	"1"	"Sambucus nigra"	"4"
"35984_JG-105"	"not cataloged"	"1"	"A-1"	"1"	"Salvia dorrii"	"1"
"35984_JG-106"	"not cataloged"	"1"	"A-1"	"1"	"Arctostaphylos viscida"	"0.5"
"35984_JG-107"	"not cataloged"	"1"	"A-1"	"1"	"Pinus ponderosa"	"1"
"35984_JG-108"	"not cataloged"	"1"	"A-1"	"1"	"Wood"	"2"
"35984_JG-109"	"not cataloged"	"1"	"A-1"	"1"	"Bone"	"1"
"35984_JG-110"	"not cataloged"	"1"	"A-1"	"1"	"Bone"	"1"
"35984_JG-111"	"LACMP23-37492"	"1"	"A-1"	"1"	"Charcoal"	"1"
"35984_JG-112"	"not cataloged"	"1"	"A-1"	"1"	"Heteromeles arbutifolia"	"2"
"35984_JG-113"	"not cataloged"	"1"	"A-1"	"1"	"Acer macrophyllum"	"1"
"35984_JG-114"	"LACMP23-37493"	"1"	"A-1"	"1"	"Wood"	"1"
"35984_JG-115"	"LACMP23-39521"	"1"	"A-1"	"1"	"Alnus rhombifolia"	"2"
"35984_JG-116"	"not cataloged"	"1"	"A-1"	"1"	"Wood"	"1"
"35984_JG-117"	"not cataloged"	"1"	"A-1"	"1"	"Berberis haematocarpa"	"1"
"35984_JG-118"	"not cataloged"	"1"	"A-1"	"1"	"Rock"	"4"
"35984_JG-119"	"not cataloged"	"1"	"A-1"	"1"	"Asteraceae"	"1"
