"Lab_Number"	"Catalog_Number"	"Box"	"Grid"	"Level"	"Identification"	"NISP"
"35990_JG-293"	"LACMP23-37535"	"1"	"A-2"	"5"	"Juniperus californica"	"12"
"35990_JG-294"	"not cataloged"	"1"	"A-2"	"5"	"Brassicaceae"	"1"
"35990_JG-295"	"not cataloged"	"1"	"A-2"	"5"	"Juniperus californica"	"2"
"35990_JG-296"	"not cataloged"	"1"	"A-2"	"5"	"Juniperus californica"	"7"
"35990_JG-297"	"not cataloged"	"1"	"A-2"	"5"	"rock"	"3"
"35990_JG-298"	"not cataloged"	"1"	"A-2"	"5"	"Malosma laurina"	"1"
"35990_JG-299"	"not cataloged"	"1"	"A-2"	"5"	"Ranunculus sp."	"1"
"35990_JG-300"	"not cataloged"	"1"	"A-2"	"5"	"Wood"	"1"
"35990_JG-301"	"not cataloged"	"1"	"A-2"	"5"	"Muilla maritima"	"1"
"35994_JG-302"	"LACMP23-37536"	"1"	"B-1"	"5"	"Platanus racemosa"	"7"
"35994_JG-303"	"LACMP23-37537"	"1"	"B-1"	"5"	"Juniperus californica"	"5"
"35994_JG-304"	"LACMP23-37538"	"1"	"B-1"	"5"	"Juniperus californica"	"3"
"35994_JG-305"	"LACMP23-37539"	"1"	"B-1"	"5"	"Charcoal"	"10"
"35994_JG-306"	"not cataloged"	"1"	"B-1"	"5"	"Rock"	"22"
"35994_JG-307"	"not cataloged"	"1"	"B-1"	"5"	"Cyperaceae"	"1"
"35994_JG-308"	"LACMP23-37540"	"1"	"B-1"	"5"	"Juniperus sp."	"172"
"35994_JG-309"	"LACMP23-37541"	"1"	"B-1"	"5"	"Juniperus sp."	"119"
"35994_JG-310"	"not cataloged"	"1"	"B-1"	"5"	"Solidago canandensis"	"3"
"35994_JG-311"	"LACMP23-37542"	"1"	"B-1"	"5"	"Alopecurus aequalis"	"4"
"35994_JG-312"	"not cataloged"	"1"	"B-1"	"5"	"Bone"	"1"
"35994_JG-313"	"not cataloged"	"1"	"B-1"	"5"	"Rosaceae"	"1"
"35994_JG-314"	"not cataloged"	"1"	"B-1"	"5"	"Castela emoryi"	"1"
"35994_JG-315"	"LACMP23-37543"	"1"	"B-1"	"5"	"Berula erecta"	"0.5"
"35994_JG-316"	"not cataloged"	"1"	"B-1"	"5"	"Angelica tomentosa"	"2"
"35994_JG-317"	"not cataloged"	"1"	"B-1"	"5"	"Juniperus californica"	"1"
"35994_JG-318"	"not cataloged"	"1"	"B-1"	"5"	"Bloomeria crocea"	"1"
"35994_JG-319"	"not cataloged"	"1"	"B-1"	"5"	"Astragalus accidens"	"1"
"35994_JG-320"	"not cataloged"	"1"	"B-1"	"5"	"Angelica tomentosa"	"1"
"35994_JG-321"	"not cataloged"	"1"	"B-1"	"5"	"Lonicera interrupta"	"1"
"35994_JG-322"	"not cataloged"	"1"	"B-1"	"5"	"Brasenia schreberi"	"1"
"35994_JG-323"	"not cataloged"	"1"	"B-1"	"5"	"Sambucus nigra"	"5"
"35994_JG-324"	"not cataloged"	"1"	"B-1"	"5"	"Rosa woodsii"	"2"
"35994_JG-325"	"not cataloged"	"1"	"B-1"	"5"	"Ceanothus integerrimus"	"1"
"35994_JG-326"	"not cataloged"	"1"	"B-1"	"5"	"Perideridia bolanderi"	"1"
"35994_JG-327"	"not cataloged"	"1"	"B-1"	"5"	"Brodiaea elegans"	"1"
"35994_JG-328"	"not cataloged"	"1"	"B-1"	"5"	"Cyperaceae"	"1"
"35994_JG-329"	"LACMP23-37544"	"1"	"B-1"	"5"	"Cyperaceae"	"7.5"
"35994_JG-330"	"LACMP23-37545"	"1"	"B-1"	"5"	"Juniperus californica"	"8"
"35994_JG-331"	"not cataloged"	"1"	"B-1"	"5"	"Vicia hassei"	"2"
"35994_JG-332"	"not cataloged"	"1"	"B-1"	"5"	"Sisyrinchium bellum"	"1"
"35994_JG-333"	"not cataloged"	"1"	"B-1"	"5"	"Funastrum cynanchoides"	"1"
"35994_JG-334"	"not cataloged"	"1"	"B-1"	"5"	"Galium trifidium"	"1"
"35994_JG-335"	"not cataloged"	"1"	"B-1"	"5"	"Quercus dumosa"	"1"
"35994_JG-336"	"not cataloged"	"1"	"B-1"	"5"	"Bone"	"1"
"35997_JG-337"	"LACMP23-37546"	"1"	"B-2"	"5"	"Quercus dumosa"	"19"
"35997_JG-338"	"LACMP23-37547"	"1"	"B-2"	"5"	"Juniperus californica"	"2"
"35997_JG-339"	"LACMP23-37548"	"1"	"B-2"	"5"	"Platanus racemosa"	"12"
"35997_JG-340"	"LACMP23-37549"	"1"	"B-2"	"5"	"Juniperus sp."	"75"
"35997_JG-341"	"not cataloged"	"1"	"B-2"	"5"	"rocks"	"60"
"35997_JG-342"	"LACMP23-37550"	"1"	"B-2"	"5"	"Juniperus sp."	"70"
"35997_JG-343"	"LACMP23-37551"	"1"	"B-2"	"5"	"Juniperus californica"	"38"
"35997_JG-344"	"not cataloged"	"1"	"B-2"	"5"	"Solidago canandensis"	"3"
"35997_JG-345"	"not cataloged"	"1"	"B-2"	"5"	"Ambrosia psilostachya"	"1"
"35997_JG-346"	"LACMP23-37552"	"1"	"B-2"	"5"	"Arctostaphylos glauca"	"2"
"35997_JG-347"	"not cataloged"	"1"	"B-2"	"5"	"Angelica tomentosa"	"1"
"35997_JG-348"	"not cataloged"	"1"	"B-2"	"5"	"Pinus attenuata"	"1"
"35997_JG-349"	"not cataloged"	"1"	"B-2"	"5"	"Pinus radiata"	"1"
"35997_JG-350"	"not cataloged"	"1"	"B-2"	"5"	"Cornus sericea"	"1"
"35997_JG-351"	"not cataloged"	"1"	"B-2"	"5"	"Alopecurus aequalis"	"2"
"35997_JG-352"	"not cataloged"	"1"	"B-2"	"5"	"bone"	"3"
"35997_JG-353"	"not cataloged"	"1"	"B-2"	"5"	"Cyperaceae"	"1"
"35997_JG-354"	"not cataloged"	"1"	"B-2"	"5"	"Juniperus californica"	"1"
"35997_JG-355"	"not cataloged"	"1"	"B-2"	"5"	"Sambucus nigra"	"1"
"35997_JG-356"	"not cataloged"	"1"	"B-2"	"5"	"Vicia hassei"	"2"
"35987_JG-357"	"not cataloged"	"1"	"A-1"	"6"	"Ranunculus sceleratus"	"1"
"35987_JG-358"	"not cataloged"	"1"	"A-1"	"6"	"Pinus muricata"	"1"
"35987_JG-359"	"not cataloged"	"1"	"A-1"	"6"	"Ranunculus sp."	"2"
"35987_JG-360"	"not cataloged"	"1"	"A-1"	"6"	"Ambrosia confertiflora"	"1"
"35987_JG-361"	"LACMP23-37553"	"1"	"A-1"	"6"	"Juniperus californica"	"5"
"35987_JG-362"	"not cataloged"	"1"	"A-1"	"6"	"Alnus rhombifolia"	"1"
"35987_JG-363"	"LACMP23-37554"	"1"	"A-1"	"6"	"Plantanus racemosa"	"4"
"35987_JG-364"	"not cataloged"	"1"	"A-1"	"6"	"Alopecurus aequalis"	"2"
"35987_JG-365"	"LACMP23-37555"	"1"	"A-1"	"6"	"Quercus dumosa"	"1"
"35987_JG-366"	"LACMP23-37556"	"1"	"A-1"	"6"	"Juniperus californica"	"7"
"35987_JG-367"	"LACMP23-37557"	"1"	"A-1"	"6"	"Juniperus californica"	"8"
"35987_JG-368"	"not cataloged"	"1"	"A-1"	"6"	"Sambucus nigra"	"1"
"35987_JG-369"	"LACMP23-37558"	"1"	"A-1"	"6"	"Juniperus sp."	"94"
"35987_JG-370"	"LACMP23-37559"	"1"	"A-1"	"6"	"Juniperus sp."	"68"
"35987_JG-371"	"not cataloged"	"1"	"A-1"	"6"	"rocks"	"9"
"35987_JG-372"	"not cataloged"	"1"	"A-1"	"6"	"Salvia dorrii"	"1"
"35987_JG-373"	"not cataloged"	"1"	"A-1"	"6"	"Rhus integrifolia"	"1"
"35987_JG-374"	"not cataloged"	"1"	"A-1"	"6"	"Bone"	"1"
"35988_JG-375"	"LACMP23-37560"	"1"	"A-1"	"7"	"Plantanus racemosa"	"5"
"35988_JG-376"	"not cataloged"	"1"	"A-1"	"7"	"Bone"	"1"
"35988_JG-377"	"LACMP23-37561"	"1"	"A-1"	"7"	"Juniperus californica"	"4"
"35988_JG-378"	"LACMP23-37562"	"1"	"A-1"	"7"	"Arctostaphylos viscida"	"1"
"35988_JG-379"	"not cataloged"	"1"	"A-1"	"7"	"Solidago canandensis"	"1"
"35988_JG-380"	"not cataloged"	"1"	"A-1"	"7"	"Juniperus californica"	"2"
"35988_JG-381"	"not cataloged"	"1"	"A-1"	"7"	"Alopecurus aequalis"	"2"
"35988_JG-382"	"not cataloged"	"1"	"A-1"	"7"	"Poaceae"	"2"
"35988_JG-383"	"not cataloged"	"1"	"A-1"	"7"	"Rhus aromatica"	"1"
"35988_JG-384"	"not cataloged"	"1"	"A-1"	"7"	"Cyperaceae"	"1"
"35988_JG-385"	"not cataloged"	"1"	"A-1"	"7"	"rock"	"7"
"35988_JG-386"	"LACMP23-37563"	"1"	"A-1"	"7"	"Juniperus sp."	"241"
"35988_JG-387"	"LACMP23-37564"	"1"	"A-1"	"7"	"Juniperus sp."	"71"
"35988_JG-388"	"not cataloged"	"1"	"A-1"	"7"	"Berula erecta"	"0.5"
"35988_JG-389"	"not cataloged"	"1"	"A-1"	"7"	"Galium hallii"	"1"
"35988_JG-390"	"LACMP23-37565"	"1"	"A-1"	"7"	"Juniperus californica"	"5"
"35988_JG-391"	"not cataloged"	"1"	"A-1"	"7"	"Sambucus nigra"	"1"
"35988_JG-392"	"not cataloged"	"1"	"A-1"	"7"	"Vicia hassei"	"3"
"35988_JG-393"	"not cataloged"	"1"	"A-1"	"7"	"Brassicaceae"	"0.5"
"35988_JG-394"	"not cataloged"	"1"	"A-1"	"7"	"Sorbus californica"	"1"
"35988_JG-395"	"not cataloged"	"1"	"A-1"	"7"	"Charcoal"	"2"
"35988_JG-396"	"not cataloged"	"1"	"A-1"	"7"	"Bone"	"1"
"35995_JG-397"	"LACMP23-37566"	"1"	"B-1"	"8"	"Juniperus californica"	"1"
"35995_JG-398"	"LACMP23-37567"	"1"	"B-1"	"8"	"Platanus racemosa"	"14"
"35995_JG-399"	"not cataloged"	"1"	"B-1"	"8"	"Poaceae"	"1"
"35995_JG-400"	"LACMP23-37568"	"1"	"B-1"	"8"	"Charcoal"	"27"
"35995_JG-401"	"not cataloged"	"1"	"B-1"	"8"	"Rumex salicifolius"	"1"
"35995_JG-402"	"LACMP23-37569"	"1"	"B-1"	"8"	"Juniperus californica"	"12"
"35995_JG-403"	"LACMP23-37570"	"1"	"B-1"	"8"	"Juniperus sp."	"193"
"35995_JG-404"	"not cataloged"	"1"	"B-1"	"8"	"Thysanocarpus laciniatus"	"10"
"35995_JG-405"	"LACMP23-37571"	"1"	"B-1"	"8"	"Juniperus sp."	"83"
"35995_JG-406"	"not cataloged"	"1"	"B-1"	"8"	"Pinus sabiniana"	"0.5"
"35995_JG-407"	"not cataloged"	"1"	"B-1"	"8"	"bone"	"1"
"35995_JG-408"	"not cataloged"	"1"	"B-1"	"8"	"Sambucus nigra"	"0.5"
"35995_JG-409"	"not cataloged"	"1"	"B-1"	"8"	"Allium atrorubens"	"3"
"35995_JG-410"	"not cataloged"	"1"	"B-1"	"8"	"Asteraceae"	"0.5"
"35995_JG-411"	"not cataloged"	"1"	"B-1"	"8"	"Salvia apiana"	"1"
"35995_JG-412"	"not cataloged"	"1"	"B-1"	"8"	"Asclepias californica"	"1"
"35995_JG-413"	"LACMP23-37572"	"1"	"B-1"	"8"	"Berberis aquifolium"	"2"
"35995_JG-414"	"not cataloged"	"1"	"B-1"	"8"	"Rock"	"18"
"35995_JG-415"	"not cataloged"	"1"	"B-1"	"8"	"Sambucus nigra"	"1"
"35995_JG-416"	"not cataloged"	"1"	"B-1"	"8"	"Heteromeles arbutifolia"	"1"
"35995_JG-417"	"not cataloged"	"1"	"B-1"	"8"	"Cyperaceae"	"1"
"35995_JG-418"	"not cataloged"	"1"	"B-1"	"8"	"Vicia hassei"	"4"
"35995_JG-419"	"not cataloged"	"1"	"B-1"	"8"	"Heteromeles arbutifolia"	"1"
"35995_JG-420"	"not cataloged"	"1"	"B-1"	"8"	"Brassicaceae"	"1/2"
"35995_JG-421"	"not cataloged"	"1"	"B-1"	"8"	"Lathyrus vestitus"	"1"
"35996_JG-422"	"LACMP23-37573"	"1"	"B-2"	"9"	"Persicaria lapathifolia"	"32"
"35996_JG-423"	"not cataloged"	"1"	"B-2"	"9"	"Bone"	"1"
"35996_JG-424"	"not cataloged"	"1"	"B-2"	"9"	"Solidago canandensis"	"44"
"35996_JG-425"	"not cataloged"	"1"	"B-2"	"9"	"rocks"	"33"
"35996_JG-426"	"LACMP23-37574"	"1"	"B-2"	"9"	"Juniperus californica"	"5"
"35996_JG-427"	"LACMP23-37575"	"1"	"B-2"	"9"	"Platanus racemosa"	"9"
"35996_JG-428"	"not cataloged"	"1"	"B-2"	"9"	"Pinus sabiniana"	"0.5"
"35996_JG-429"	"not cataloged"	"1"	"B-2"	"9"	"Potamogeton nodosus"	"1"
"35996_JG-430"	"LACMP23-37576"	"1"	"B-2"	"9"	"Juniperus sp."	"25"
"35996_JG-431"	"LACMP23-37577"	"1"	"B-2"	"9"	"Juniperus sp."	"10"
"35996_JG-432"	"not cataloged"	"1"	"B-2"	"9"	"Pinus muricata"	"2"
"35996_JG-433"	"LACMP23-37578"	"1"	"B-2"	"9"	"Charcoal"	"4"
"35996_JG-434"	"not cataloged"	"1"	"B-2"	"9"	"Juniperus californica"	"1"
"35996_JG-435"	"LACMP23-37579"	"1"	"B-2"	"9"	"Juniperus californica"	"3"
"35987_JG-361"	"Jesse"	"1"	"A-1"	"6"	"Juniperus californica"	"4"
"35995_JG-397"	"Jesse"	"1"	"B-1"	"8"	"Juniperus californica"	"6"
"35992_JG-215"	"Bekker pg. 217"	"1"	"B-1"	"3"	"Juniperus californica"	"6"
"JG-971"	"LACMP23-41944"	"13"	"A-3"	"1"	"Juniperus californica"	"14"
"JG-972"	"LACMP23-41945"	"13"	"A-3"	"1"	"Juniperus sp."	"55"
"JG-973"	"LACMP23-41946"	"13"	"A-3"	"1"	"Juniperus californica"	"2"
"JG-974"	"LACMP23-41947"	"13"	"A-3"	"1"	"Platanus racemosa"	"10"
"JG-975"	"LACMP23-41948"	"13"	"A-3"	"1"	"Solidago canadensis"	"5"
"JG-976"	"LACMP23-41949"	"13"	"A-3"	"1"	"Alopecurus aequalis"	"1"
"JG-977"	"LACMP23-41950"	"13"	"A-3"	"1"	"Xanthium strumarium"	"1"
"JG-978"	"LACMP23-41951"	"13"	"A-3"	"1"	"Juniperus californica"	"1"
"JG-979"	"LACMP23-41952"	"13"	"A-3"	"1"	"Cornus sericea"	"1"
"JG-980"	"LACMP23-41953"	"13"	"A-3"	"1"	"Charcoal"	"1"
"JG-981"	"LACMP23-41954"	"13"	"A-3"	"1"	"Hesperocyparis macrocarpa"	"1"
"JG-982"	"LACMP23-41955"	"13"	"A-3"	"1"	"Heteromeles arbutifolia"	"1"
"JG-983"	"LACMP23-41956"	"13"	"A-3"	"2"	"Juniperus californica"	"55"
"JG-984"	"LACMP23-41957"	"13"	"A-3"	"2"	"Juniperus sp."	"499"
"JG-985"	"not cataloging now"	"13"	"A-3"	"2"	"Bone"	"19"
"JG-986"	"LACMP23-41958"	"13"	"A-3"	"2"	"Juniperus californica (charcoal/ashpalt?)"	"1"
"JG-987"	"LACMP23-41959"	"13"	"A-3"	"2"	"Juniperus californica"	"7"
"JG-988"	"LACMP23-41960"	"13"	"A-3"	"2"	"Platanus racemosa"	"4"
"JG-989"	"LACMP23-41961"	"13"	"A-3"	"2"	"Xanthium strumarium"	"3"
"JG-990"	"LACMP23-41962"	"13"	"A-3"	"2"	"Juniperus californica"	"4"
"JG-991"	"LACMP23-41963"	"13"	"A-3"	"2"	"Purshia tridentata"	"1"
"JG-992"	"LACMP23-41964"	"13"	"A-3"	"2"	"Salix lasiolepis"	"1"
"JG-993"	"LACMP23-41965"	"13"	"A-3"	"2"	"Quercus dumosa"	"1"
"JG-994"	"LACMP23-41966"	"13"	"A-3"	"2"	"Sisyrinchium bellum"	"1"
"JG-995"	"LACMP23-41967"	"13"	"A-3"	"3"	"Juniperus californica"	"68"
"JG-996"	"LACMP23-41968"	"13"	"A-3"	"3"	"Juniperus sp."	"99"
"JG-997"	"LACMP23-41969"	"13"	"A-3"	"3"	"Arctostaphylos viscida"	"0.5"
"JG-998"	"LACMP23-41970"	"13"	"A-3"	"3"	"Salvia apiana"	"1"
"JG-999"	"LACMP23-41971"	"13"	"A-3"	"3"	"Potamogeton nodosus"	"1"
"JG-1000"	"LACMP23-41972"	"13"	"A-3"	"3"	"Berberis aquifolium"	"0.5"
"JG-1001"	"LACMP23-41973"	"13"	"A-3"	"3"	"Heteromeles arbutifolia"	"1"
"JG-1002"	"LACMP23-41974"	"13"	"A-3"	"3"	"Viola douglasii"	"1"
"JG-1003"	"not cataloging now"	"13"	"A-3"	"3"	"Bone"	"33"
"JG-1004"	"LACMP23-41975"	"13"	"A-3"	"3"	"Sisyrinchium bellum"	"1"
"JG-1005"	"LACMP23-41976"	"13"	"A-3"	"3"	"Juniperus californica"	"1"
"JG-1006"	"LACMP23-41977"	"13"	"A-3"	"3"	"Juniperus californica (charcoal/ashpalt?)"	"4"
"JG-1007"	"LACMP23-41978"	"13"	"A-3"	"4"	"Juniperus californica"	"34"
"JG-1008"	"LACMP23-41979"	"13"	"A-3"	"4"	"Juniperus sp."	"3"
"JG-1009"	"LACMP23-41980"	"13"	"A-3"	"4"	"Quercus dumosa"	"1"
"JG-1010"	"LACMP23-41981"	"13"	"A-3"	"4"	"Quercus dumosa"	"1"
"JG-1011"	"LACMP23-41982"	"13"	"A-3"	"4"	"Quercus dumosa"	"0.25"
"JG-1012"	"LACMP23-41983"	"13"	"A-3"	"4"	"Platanus racemosa"	"1"
"JG-1013"	"not cataloging now"	"13"	"A-3"	"4"	"Bone"	"20"
"JG-1014"	"LACMP23-41984"	"13"	"A-3"	"4"	"Quercus lobata"	"1"
"JG-1015"	"LACMP23-41985"	"13"	"A-3"	"4"	"Arctostaphylos glauca"	"2"
"JG-1016"	"LACMP23-41986"	"13"	"A-3"	"4"	"Sisyrinchium bellum"	"0.5"
"JG-1017"	"LACMP23-41987"	"13"	"A-3"	"4"	"Berula erecta"	"0.5"
"JG-1018"	"LACMP23-41988"	"13"	"A-3"	"4"	"Aquilegia formosa"	"1"
"JG-1019"	"LACMP23-41989"	"13"	"B-2"	"1"	"Juniperus californica"	"17"
"JG-1020"	"LACMP23-41990"	"13"	"B-2"	"1"	"Juniperus sp."	"80"
"JG-1021"	"LACMP23-41991"	"13"	"B-2"	"1"	"Juniperus californica"	"6"
"JG-1022"	"LACMP23-41992"	"13"	"B-2"	"1"	"Juniperus californica"	"1"
"JG-1023"	"LACMP23-41993"	"13"	"A-3"	"1"	"Juniperus californica (charcoal/ashpalt?)"	"1"
"JG-1024"	"LACMP23-41994"	"13"	"B-2"	"1"	"Xanthium strumarium"	"2"
"JG-1025"	"LACMP23-41995"	"13"	"B-2"	"1"	"Platanus racemosa"	"3"
"JG-1026"	"not cataloging now"	"13"	"B-2"	"1"	"Bone"	"4"
"JG-1027"	"LACMP23-41996"	"13"	"A-3"	"1"	"Berberis aquifolium"	"1"
"JG-1028"	"LACMP23-41997"	"13"	"B-2"	"1"	"Solidago canadensis"	"1"
"JG-1029"	"LACMP23-41998"	"13"	"B-2"	"1"	"Quercus dumosa"	"1"
"JG-1030"	"LACMP23-41999"	"13"	"B-2"	"1"	"Cyperaceae"	"1"
"JG-1031"	"LACMP23-42000"	"13"	"B-2"	"2"	"Juniperus californica"	"38"
"JG-1032"	"LACMP23-42001"	"13"	"B-2"	"2"	"Juniperus sp."	"102"
"JG-1033"	"LACMP23-42002"	"13"	"B-2"	"2"	"Solidago canadensis"	"3"
"JG-1034"	"LACMP23-42003"	"13"	"B-2"	"2"	"Platanus racemosa"	"5"
"JG-1035"	"LACMP23-42004"	"13"	"B-2"	"2"	"Juniperus californica"	"12"
"JG-1036"	"LACMP23-42005"	"13"	"B-2"	"2"	"Juniperus californica"	"1"
"JG-1037"	"not cataloging now"	"13"	"B-2"	"2"	"Bone"	"7"
"JG-1038"	"LACMP23-42006"	"13"	"B-2"	"2"	"Alnus rhombifolia"	"2"
"JG-1039"	"LACMP23-42007"	"13"	"B-2"	"2"	"Madia exigua"	"1"
"JG-1040"	"LACMP23-42008"	"13"	"B-2"	"2"	"Berula erecta"	"0.5"
"JG-1041"	"LACMP23-42009"	"13"	"B-2"	"2"	"Purshia tridentata"	"3"
"JG-1042"	"LACMP23-42010"	"13"	"B-2"	"2"	"Xanthium strumarium"	"1"
"JG-1043"	"LACMP23-42011"	"13"	"B-2"	"3"	"Juniperus californica"	"17"
"JG-1044"	"LACMP23-42012"	"13"	"B-2"	"3"	"Juniperus sp."	"54"
"JG-1045"	"not cataloging now"	"13"	"B-2"	"3"	"Bone"	"18"
"JG-1046"	"LACMP23-42013"	"13"	"B-2"	"3"	"Juniperus californica"	"3"
"JG-1047"	"LACMP23-42014"	"13"	"B-2"	"3"	"Thysanocarpus laciniatus"	"1"
"JG-1048"	"LACMP23-42015"	"13"	"B-2"	"3"	"Platanus racemosa"	"2"
"JG-1049"	"LACMP23-42016"	"13"	"B-2"	"3"	"Juniperus californica (charcoal/ashpalt?)"	"1"
"JG-1050"	"LACMP23-42017"	"13"	"B-2"	"3"	"Potamogeton nodosus"	"1"
"JG-1051"	"LACMP23-42018"	"13"	"B-2"	"3"	"Salvia apiana"	"1"
"JG-1052"	"LACMP23-42019"	"13"	"B-2"	"3"	"Purshia tridentata"	"2"
"JG-1053"	"LACMP23-42020"	"13"	"B-2"	"3"	"Quercus lobata"	"4"
"JG-1054"	"LACMP23-42021"	"13"	"B-2"	"3"	"Charcoal"	"1"
"JG-1055"	"LACMP23-42022"	"13"	"B-2"	"4"	"Juniperus californica"	"29"
"JG-1056"	"LACMP23-42023"	"13"	"B-2"	"4"	"Juniperus sp."	"98"
"JG-1057"	"LACMP23-42024"	"13"	"B-2"	"4"	"Alopecurus aequalis"	"6"
"JG-1058"	"not cataloging now"	"13"	"B-2"	"4"	"Bone"	"88"
"JG-1059"	"LACMP23-42025"	"13"	"B-2"	"4"	"Platanus racemosa"	"11"
"JG-1060"	"LACMP23-42026"	"13"	"B-2"	"4"	"Juniperus californica"	"5"
"JG-1061"	"LACMP23-42027"	"13"	"B-2"	"4"	"Arctostaphylos viscida"	"1"
"JG-1062"	"LACMP23-42028"	"13"	"B-2"	"4"	"Quercus agrifolia"	"2"
"JG-1063"	"LACMP23-42029"	"13"	"B-2"	"4"	"Salvia apiana"	"1"
"JG-1064"	"LACMP23-42030"	"13"	"B-2"	"4"	"Quercus agrifolia"	"2"
"JG-1065"	"LACMP23-42031"	"13"	"B-2"	"4"	"Quercus agrifolia"	"2"
"JG-1066"	"LACMP23-42032"	"13"	"B-2"	"4"	"Solidago canadensis"	"2"
"JG-1067"	"LACMP23-42033"	"13"	"B-3"	"1"	"Juniperus californica"	"2"
"JG-1068"	"LACMP23-42034"	"13"	"B-3"	"1"	"Juniperus sp."	"24"
"JG-1069"	"LACMP23-42035"	"13"	"B-3"	"1"	"Juniperus californica"	"2"
"JG-1070"	"LACMP23-42036"	"13"	"B-3"	"1"	"Juniperus californica (charcoal/ashpalt?)"	"1"
"JG-1071"	"LACMP23-42037"	"13"	"B-3"	"1"	"Platanus racemosa"	"1"
"JG-1072"	"not cataloging now"	"13"	"B-3"	"1"	"Bone"	"1"
"JG-1073"	"not cataloging now"	"13"	"B-3"	"1"	"Turtle scute"	"1"
"JG-1074"	"LACMP23-42038"	"13"	"B-3"	"1"	"Sambucus nigra"	"1"
"JG-1075"	"LACMP23-42039"	"13"	"B-3"	"1"	"Thysanocarpus laciniatus"	"1"
"JG-1076"	"LACMP23-42040"	"13"	"B-3"	"1"	"Charcoal"	"3"
"JG-1077"	"LACMP23-42041"	"13"	"B-3"	"1"	"Adenostoma fasciculatum"	"0.5"
"JG-1078"	"LACMP23-42042"	"13"	"B-3"	"1"	"Aconitum columbianum"	"1"
"JG-1079"	"LACMP23-42043"	"13"	"B-3"	"2"	"Juniperus californica"	"30"
"JG-1080"	"LACMP23-42044"	"13"	"B-3"	"2"	"Juniperus sp."	"40"
"JG-1081"	"LACMP23-42045"	"13"	"B-3"	"2"	"Asclepias californica"	"1"
"JG-1082"	"LACMP23-42046"	"13"	"B-3"	"2"	"Xanthium strumarium"	"2"
"JG-1083"	"LACMP23-42047"	"13"	"B-3"	"2"	"Platanus racemosa"	"1"
"JG-1084"	"LACMP23-42048"	"13"	"B-3"	"2"	"Solidago canadensis"	"6"
"JG-1085"	"LACMP23-42049"	"13"	"B-3"	"2"	"Sisyrinchium bellum"	"1"
"JG-1086"	"LACMP23-42050"	"13"	"B-3"	"2"	"Berberis haematocarpa"	"1"
"JG-1087"	"LACMP23-42051"	"13"	"B-3"	"2"	"Quercus lobata"	"1"
"JG-1088"	"LACMP23-42052"	"13"	"B-3"	"2"	"Quercus agrifolia"	"1"
"JG-1089"	"LACMP23-42053"	"13"	"B-3"	"2"	"Salix lasiolepis"	"1"
"JG-1090"	"not cataloging now"	"13"	"B-3"	"2"	"Bone"	"6"
"JG-1091"	"LACMP23-42054"	"13"	"B-3"	"3"	"Juniperus californica"	"32"
"JG-1092"	"LACMP23-42055"	"13"	"B-3"	"3"	"Juniperus sp."	"101"
"JG-1093"	"LACMP23-42056"	"13"	"B-3"	"3"	"Juniperus californica"	"7"
"JG-1094"	"LACMP23-42057"	"13"	"B-3"	"3"	"Platanus racemosa"	"9"
"JG-1095"	"not cataloging now"	"13"	"B-3"	"3"	"Bone"	"10"
"JG-1096"	"LACMP23-42058"	"13"	"B-3"	"3"	"Juniperus californica (charcoal/ashpalt?)"	"1"
"JG-1097"	"LACMP23-42059"	"13"	"B-3"	"3"	"Juniperus californica"	"1"
"JG-1098"	"LACMP23-42060"	"13"	"B-3"	"3"	"Potamogeton nodosus"	"1"
"JG-1099"	"LACMP23-42061"	"13"	"B-3"	"3"	"Heteromeles arbutifolia"	"1"
"JG-1100"	"LACMP23-42062"	"13"	"B-3"	"3"	"Hesperocyparis macrocarpa"	"1"
"JG-1101"	"LACMP23-42063"	"13"	"B-3"	"3"	"Sisyrinchium bellum"	"1"
"JG-1102"	"LACMP23-42064"	"13"	"B-3"	"3"	"Ambrosia eriocentra"	"2"
"JG-1103"	"LACMP23-42065"	"13"	"B-3"	"3"	"Berberis aquifolium"	"1"
"JG-1104"	"LACMP23-42066"	"13"	"B-3"	"4"	"Juniperus californica"	"6"
"JG-1105"	"LACMP23-42067"	"13"	"B-3"	"4"	"Juniperus sp."	"68"
"JG-1106"	"not cataloging now"	"13"	"B-3"	"4"	"Bone"	"18"
"JG-1107"	"LACMP23-42068"	"13"	"B-3"	"4"	"Sambucus nigra"	"3"
"JG-1108"	"LACMP23-42069"	"13"	"B-3"	"4"	"Ambrosia psilostachya"	"1"
"JG-1109"	"LACMP23-42070"	"13"	"B-3"	"4"	"Persicaria lapathifolia"	"1"
"JG-1110"	"not cataloging now"	"13"	"B-3"	"4"	"Insect wing"	"1"
"JG-1111"	"LACMP23-42071"	"13"	"B-3"	"4"	"Platanus racemosa"	"28"
"JG-1112"	"LACMP23-42072"	"13"	"B-3"	"4"	"Alopecurus aequalis"	"5"
"JG-1113"	"LACMP23-42073"	"13"	"B-3"	"4"	"Juniperus californica"	"2"
"JG-1114"	"LACMP23-42074"	"13"	"B-3"	"4"	"Juniperus californica"	"5"
"JG-1115"	"LACMP23-42075"	"13"	"B-3"	"4"	"Solidago canadensis"	"4"
"JG-1116"	"LACMP23-42076"	"13"	"B-3"	"4"	"Arctostaphylos viscida"	"1"
