name	longitude	latitude	issues	prov	key	scientificName	datasetKey	publishingOrgKey	installationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	hostingOrganizationKey	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	dateIdentified	coordinateUncertaintyInMeters	elevation	elevationAccuracy	continent	stateProvince	year	month	day	eventDate	modified	lastInterpreted	references	license	institutionKey	isInCluster	geodeticDatum	class	countryCode	country	institutionID	dynamicProperties	county	identificationVerificationStatus	gbifID	language	type	preparations	locationAccordingTo	catalogNumber	institutionCode	eventTime	identifiedBy	identifier	georeferencedDate	higherGeography	nomenclaturalCode	verbatimEventDate	georeferencedBy	georeferenceProtocol	endDayOfYear	georeferenceVerificationStatus	locality	verbatimCoordinateSystem	collectionCode	verbatimLocality	occurrenceID	recordedBy	otherCatalogNumbers	organismID	previousIdentifications	identificationQualifier	samplingProtocol	accessRights	higherClassification	collectionID	georeferenceSources	establishmentMeans	iucnRedListCategory	startDayOfYear	occurrenceRemarks	bibliographicCitation	collectionKey	verbatimElevation	reproductiveCondition	recordNumber	datasetName	individualCount	habitat	eventRemarks	identificationRemarks	locationRemarks	lifeStage	georeferenceRemarks	rightsHolder	fieldNumber	disposition	ownerInstitutionCode	datasetID	vernacularName	http://unknown.org/recordId	taxonID	rights	http://unknown.org/recordEnteredBy	projectId	depth	depthAccuracy	namePublishedInYear	nameAccordingTo	acceptedNameUsage	locationID	parentNameUsage	identificationID	municipality	taxonRemarks	fieldNotes	islandGroup	island	typeStatus	informationWithheld	higherGeographyID	associatedTaxa	occID
Scapanus latimanus latimanus	-122.30576494109629	37.116501035391394	cdrep,osiic,incomis,inmafu	gbif	1145709923	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:04Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	1999-01-27T00:00:00Z	8047	NA	NA	NORTH_AMERICA	California	1970	11	1	1970-11-01	2021-02-03T01:30:00Z	2021-05-29T00:56:04Z	http://arctos.database.museum/guid/MVZ:Mamm:140057	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=male	San Mateo County	unknown	1145709923	en	PhysicalObject	skull; skin, study	Matt Krebs	MVZ:Mamm:140057	MVZ	1970-11-01	Museum of Vertebrate Zoology, University of California, Berkeley	http://arctos.database.museum/guid/MVZ:Mamm:140057?seid=1108917	2001-02-01 00:00:00	North America, United States, California, San Mateo County	ICZN	1 Nov 1970	Matt Krebs	not recorded	305	unverified	Coastways Ranch, U.S. Hwy. 1	decimal degrees	Mammal specimens	Coastways Ranch, US Hwy. 1	http://arctos.database.museum/guid/MVZ:Mamm:140057?seid=1108917	Collector(s): R. L. DeLong	collector number=420	http://arctos.database.museum/guid/MVZ:Mamm:140057	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":""1999-01-27"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""Museum of Vertebrate Zoology, University of California, Berkeley"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	Terrain Navigator 3.02 USGS 1:24000	NA	NA	NA	NA	NA	NA	NA	NA	420	NA	1	NA	NA	Former nature_of_id: legacy.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	180
Scapanus latimanus latimanus	-122.30077557355149	37.79984163381441	cdrep,osiic	gbif	1656043428	Scapanus latimanus latimanus	06a00852-f764-4fb8-80d4-ca51f0918459	2d6267a0-0561-11d8-b851-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T19:37:58Z	2021-05-29T19:38:22Z	172	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	2016-10-24T00:00:00Z	10000	NA	NA	NORTH_AMERICA	California	1969	1	1	1969-01-01	2021-05-18T18:22:02Z	2021-05-29T19:38:22Z	http://arctos.database.museum/guid/UMNH:Mamm:24002	http://creativecommons.org/publicdomain/zero/1.0/legalcode	NA	FALSE	WGS84	Mammalia	US	United States of America	UMNH	total length=163 mm;sex=unknown;tail length=30 mm;hind foot with claw=13 mm;ear from notch=0 mm	Alameda County	unknown	1656043428	en	PhysicalObject	skin; skull	unknown	UMNH:Mamm:24002	UMNH	1969-01-01/1969-12-31	unknown	http://arctos.database.museum/guid/UMNH:Mamm:24002?seid=3313228	2016-10-24 00:00:00	North America, United States, California, Alameda County	ICZN	5/22/1905	unknown	not recorded	NA	unverified	Oakland	decimal degrees	Mammal specimens	United States | California | Alameda	http://arctos.database.museum/guid/UMNH:Mamm:24002?seid=3313228	Collector(s): Barry Inscore	collector number=BI 2	http://arctos.database.museum/guid/UMNH:Mamm:24002	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":""2016-10-24"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""unknown"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus, , <i></i>	67	not recorded	NA	NA	NA	NA	NA	NA	NA	NA	BI 2	NA	1	NA	OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native	Former nature_of_id: legacy.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	181
Scapanus latimanus occultus Grinnell & Swarth, 1912	-119.631111	34.436667	cdround,colmafu	gbif	735674073	Scapanus latimanus occultus Grinnell & Swarth, 1912	75018539-6328-41de-b875-7c2e61dc1635	78678140-1815-11da-9544-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-28T06:54:30Z	2021-03-30T11:01:29Z	129	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	6163433	1	44	359	803	9469	2436187	2436194	6163433	Scapanus latimanus occultus Grinnell & Swarth, 1912	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	occultus	SUBSPECIES	ACCEPTED	NA	NA	NA	NA	NORTH_AMERICA	California	1969	3	3	1969-03-03	2014-10-10T00:00:00Z	2021-03-30T11:01:29Z	NA	http://creativecommons.org/publicdomain/zero/1.0/legalcode	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1	FALSE	WGS84	Mammalia	US	United States of America	urn:lsid:biocol.org:col:34834	NA	Santa Barbara	NA	735674073	en	PhysicalObject	NA	NA	982	SBMNH	NA	NA	urn:catalog:SBMNH:MAM:982	NA	North America;United States;California;Santa Barbara County;;;;	ICZN	NA	NA	NA	62	requires verification	Montecito	NA	MAM	North America; United States; California; Santa Barbara County; ; ; ;	urn:catalog:SBMNH:MAM:982	NA	NA	NA	NA	NA	NA	NA	Animalia:Chordata:Mammalia:Insectivora:Talpidae:Scapanus	NA	NA	NATIVE	NA	62	NA	NA	9c963d06-c0ae-42b7-935e-504bd59fd7de	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	182
Scapanus latimanus occultus Grinnell & Swarth, 1912	-118.89775250984253	36.41606100873812	cdrep,cdround,colmafu,inmafu	gbif	1065361319	Scapanus latimanus occultus Grinnell & Swarth, 1912	7a25f7aa-03fb-4322-aaeb-66719e1a9527	493fe050-055d-11d8-b84f-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-28T07:21:59Z	2021-03-30T11:02:05Z	147	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	6163433	1	44	359	803	9469	2436187	2436194	6163433	Scapanus latimanus occultus Grinnell & Swarth, 1912	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	occultus	SUBSPECIES	ACCEPTED	NA	858	NA	NA	NORTH_AMERICA	California	1969	4	2	1969-04-02	2019-12-29T00:00:00Z	2021-03-30T11:02:05Z	http://portal.vertnet.org/o/lacm/mammals?id=4f550c93-466d-488a-a86c-ba04bc6a8c4a	http://creativecommons.org/publicdomain/zero/1.0/legalcode	2fc908ba-e775-49e2-bffe-6b9041c3b70f	FALSE	WGS84	Mammalia	US	United States of America	http://biocol.org/urn:lsid:biocol:org:34802	"{""measurements"":""167-38-21-0"",""weightInGrams"":""54.8"" }"	Tulare	NA	1065361319	en	PhysicalObject	skin | skull	NA	070229	LACM	NA	NA	4f550c93-466d-488a-a86c-ba04bc6a8c4a	NA	| United States | California | Tulare Co |  |  |  |	ICZN	02 APR 1969	Tamrya D. d'Artenay (MVZ)	NA	92	requires verification	S Fork Kaweah River Pt, Three Rivers Fire Station, 2 mi SE; Base of Blossom Peak	decimal degrees	Mammals	United States | California | Tulare Co | S Fork Kaweah River Pt, Three Rivers Fire Station, 2 mi SE; Base of Blossom Peak	4f550c93-466d-488a-a86c-ba04bc6a8c4a	Harvey, D E	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Soricomorpha | Talpidae | Scapanus	http://biocol.org/urn:lsid:biocol:org:34897	Terrain Navigator 3.02 USGS 1:100,000	NATIVE	NA	92	NA	4f550c93-466d-488a-a86c-ba04bc6a8c4a. LACM Vertebrates. http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts.	0b9fbf2e-5af8-4b06-9537-647eb8439783	NA	NA	DEH 2282	LACM Vertebrates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	183
Scapanus latimanus occultus Grinnell & Swarth, 1912	-116.788333	33.385	cdround,colmafu	gbif	735699294	Scapanus latimanus occultus Grinnell & Swarth, 1912	75018539-6328-41de-b875-7c2e61dc1635	78678140-1815-11da-9544-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-28T06:54:30Z	2021-03-30T11:01:26Z	129	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	6163433	1	44	359	803	9469	2436187	2436194	6163433	Scapanus latimanus occultus Grinnell & Swarth, 1912	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	occultus	SUBSPECIES	ACCEPTED	NA	NA	807.72	0	NORTH_AMERICA	California	1969	5	25	1969-05-25	2014-10-10T00:00:00Z	2021-03-30T11:01:26Z	NA	http://creativecommons.org/publicdomain/zero/1.0/legalcode	e329699d-6a66-4a0b-bd6a-8089f2eb2aa1	FALSE	WGS84	Mammalia	US	United States of America	urn:lsid:biocol.org:col:34834	NA	San Diego	NA	735699294	en	PhysicalObject	NA	NA	5393	SBMNH	NA	NA	urn:catalog:SBMNH:MAM:5393	NA	North America;United States;California;San Diego County;;;;	ICZN	NA	NA	NA	145	requires verification	Oak Grove	NA	MAM	North America; United States; California; San Diego County; ; ; ;	urn:catalog:SBMNH:MAM:5393	NA	NA	NA	NA	NA	NA	NA	Animalia:Chordata:Mammalia:Insectivora:Talpidae:Scapanus	NA	NA	NATIVE	NA	145	NA	NA	9c963d06-c0ae-42b7-935e-504bd59fd7de	2650 ft	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	184
Scapanus latimanus occultus Grinnell & Swarth, 1912	-118.887849	36.407626	cdround,colmafu	gbif	1656639291	Scapanus latimanus occultus Grinnell & Swarth, 1912	431b19b9-b5b4-4bcb-ae11-072899dd4c52	a26fb77a-67a4-4a15-b2c3-0c7b87ddb8e6	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T15:20:32Z	2021-03-30T10:19:07Z	88	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	6163433	1	44	359	803	9469	2436187	2436194	6163433	Scapanus latimanus occultus Grinnell & Swarth, 1912	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	occultus	SUBSPECIES	ACCEPTED	NA	NA	NA	NA	NORTH_AMERICA	California	1969	5	7	1969-05-07	2017-08-16T00:00:00Z	2021-03-30T10:19:07Z	http://portal.vertnet.org/o/csulb/mammals?id=7640	http://creativecommons.org/publicdomain/zero/1.0/legalcode	ffa867ad-5926-476b-bbb6-09be3b11b3c4	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/0vp2-jp6s	NA	Tulare	NA	1656639291	en	PhysicalObject	skin | skull	NA	7640	CSULB	NA	NA	c8d41abc-a242-4625-8225-96dcee82edee	NA	North America | United States | California | Tulare County |  |  |  |	ICZN	1969-05-07	NA	NA	127	requires verification	2 miles Southeast of Three Rivers Fire Station, up South Fork of Kaweah River	NA	Mammals	North America | United States | California | Tulare County | 2 miles Southeast of Three Rivers Fire Station, up South Fork of Kaweah River	c8d41abc-a242-4625-8225-96dcee82edee	Boley, H	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Animalia | Chordata | Mammalia | Soricomorpha | Talpidae | Scapanus	NA	NA	NATIVE	NA	127	NA	NA	c33c9938-da09-40f8-835c-e3ff75dc4f50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	185
Scapanus latimanus occultus Grinnell & Swarth, 1912	-118.208274	33.82008	colmafu	gbif	1656639336	Scapanus latimanus occultus Grinnell & Swarth, 1912	431b19b9-b5b4-4bcb-ae11-072899dd4c52	a26fb77a-67a4-4a15-b2c3-0c7b87ddb8e6	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T15:20:32Z	2021-03-30T10:19:07Z	88	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	6163433	1	44	359	803	9469	2436187	2436194	6163433	Scapanus latimanus occultus Grinnell & Swarth, 1912	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	occultus	SUBSPECIES	ACCEPTED	NA	NA	NA	NA	NORTH_AMERICA	California	1969	9	29	1969-09-29	2017-08-16T00:00:00Z	2021-03-30T10:19:07Z	http://portal.vertnet.org/o/csulb/mammals?id=7732	http://creativecommons.org/publicdomain/zero/1.0/legalcode	ffa867ad-5926-476b-bbb6-09be3b11b3c4	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/0vp2-jp6s	NA	Los Angeles	NA	1656639336	en	PhysicalObject	skin | skull	NA	7732	CSULB	NA	NA	ac15abe9-8259-4517-8720-0c8548e5edd3	NA	North America | United States | California | Los Angeles County |  |  |  |	ICZN	1969-09-29	NA	NA	272	requires verification	Long Beach, 3500 Wise Avenue, in backyard	NA	Mammals	North America | United States | California | Los Angeles County | Long Beach, 3500 Wise Avenue, in backyard	ac15abe9-8259-4517-8720-0c8548e5edd3	M, T	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Animalia | Chordata | Mammalia | Soricomorpha | Talpidae | Scapanus	NA	NA	NATIVE	NA	272	NA	NA	c33c9938-da09-40f8-835c-e3ff75dc4f50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	186
Scapanus latimanus dilatus True, 1894	-120.24811	39.43165	osiic,incomis,inmafu	gbif	1145708461	Scapanus latimanus dilatus True, 1894	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:05Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	6163432	1	44	359	803	9469	2436187	2436194	6163432	Scapanus latimanus dilatus True, 1894	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	dilatus	SUBSPECIES	ACCEPTED	1999-01-27T00:00:00Z	3703	1966	15	NORTH_AMERICA	California	1969	10	26	1969-10-26	2021-05-13T18:40:00Z	2021-05-29T00:56:05Z	http://arctos.database.museum/guid/MVZ:Mamm:138740	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=male	Nevada County	unknown	1145708461	en	PhysicalObject	skull; skin, study	David M. Fisher	MVZ:Mamm:138740	MVZ	1969-10-26	Museum of Vertebrate Zoology, University of California, Berkeley	http://arctos.database.museum/guid/MVZ:Mamm:138740?seid=1363133	2010-05-07 00:00:00	North America, United States, California, Nevada County	ICZN	26 Oct 1969	David M. Fisher	MaNIS georeferencing guidelines	299	unverified	Sagehen Creek, 3 mi NW Hobart Mills	decimal degrees	Mammal specimens	Sagehen Creek, 3 mi NW Hobart Mills	http://arctos.database.museum/guid/MVZ:Mamm:138740?seid=1363133	Collector(s): Virginia C. Maiorana	collector number=9	http://arctos.database.museum/guid/MVZ:Mamm:138740	"[{""scientific_name"":""Scapanus latimanus dilatus"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":""1999-01-27"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""Museum of Vertebrate Zoology, University of California, Berkeley"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	Acme Mapper 2.0 http://mapper.acme.com/	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	1	NA	NA	Former nature_of_id: legacy.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	187
Scapanus latimanus latimanus	-121.549522	36.386142	cdround,osiic,incomis,inmafu	gbif	1145708422	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:55:56Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	1999-01-27T00:00:00Z	65	NA	NA	NORTH_AMERICA	California	1969	11	23	1969-11-23	2021-05-21T17:50:00Z	2021-05-29T00:55:56Z	http://arctos.database.museum/guid/MVZ:Mamm:138741	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=female	Monterey County	unknown	1145708422	en	PhysicalObject	skull; skin, study	Jeni E. Chan	MVZ:Mamm:138741	MVZ	1969-11-23	Museum of Vertebrate Zoology, University of California, Berkeley	http://arctos.database.museum/guid/MVZ:Mamm:138741?seid=1591632	2010-11-01 00:00:00	North America, United States, California, Monterey County, Hastings Natural History Reservation	ICZN	23 Nov 1969	Jeni E. Chan	MaNIS georeferencing guidelines	327	unverified	Davis Residence, Hastings Natural History Reservation	decimal degrees	Mammal specimens	Davis Residence, Hastings Natural History Reservation, Carmel Valley	http://arctos.database.museum/guid/MVZ:Mamm:138741?seid=1591632	Collector(s): Susan Kishler	collector number=18	http://arctos.database.museum/guid/MVZ:Mamm:138741	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":""1999-01-27"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""Museum of Vertebrate Zoology, University of California, Berkeley"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	Converted from UTM coordinates supplied by Mark Stromberg.	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	1	NA	NA	Former nature_of_id: legacy.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	188
Scapanus latimanus (Bachman, 1842)	-121.97149	37.941104	gass84,osiic	gbif	896305372	Scapanus latimanus (Bachman, 1842)	226b536c-25f9-4f6b-b144-edcbdffa3566	247b85e0-4e6b-46d1-b1c8-47b00bb8ced7	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-28T22:53:59Z	2021-05-28T22:54:02Z	297	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	2436194	1	44	359	803	9469	2436187	2436194	2436194	Scapanus latimanus (Bachman, 1842)	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	NA	SPECIES	ACCEPTED	NA	6152	NA	NA	NORTH_AMERICA	California	1968	4	28	1968-04-28	2021-03-04T20:50:00Z	2021-05-28T22:54:02Z	http://arctos.database.museum/guid/MLZ:Mamm:1029	http://creativecommons.org/publicdomain/zero/1.0/legalcode	NA	FALSE	WGS84	Mammalia	US	United States of America	MLZ	sex=female	Contra Costa County	unknown	896305372	en	PhysicalObject	skin	unknown	MLZ:Mamm:1029	MLZ	1968-04-28	David J. Hafner	http://arctos.database.museum/guid/MLZ:Mamm:1029?seid=1827134	2012-07-08 00:00:00	North America, United States, California, Contra Costa County	ICZN	28 APR 1968	unknown	GeoLocate	119	unverified	2 mi W Clayton	NA	Mammal specimens	CLAYTON: 2 MI W	http://arctos.database.museum/guid/MLZ:Mamm:1029?seid=1827134	Collector(s): David J. Hafner	collector number=68-21	http://arctos.database.museum/guid/MLZ:Mamm:1029	"[{""scientific_name"":""Scapanus latimanus"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":null,""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""David J. Hafner"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus,	55	GeoLocate	NA	LC	NA	ROAD KILL. NO SKULL	NA	NA	NA	NA	68-21	NA	1	NA	NA	Former nature_of_id: legacy.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	189
Scapanus latimanus caurinus F.G.Palmer, 1937	-122.15827559159595	38.04923738831738	cdrep,colmafu,inmafu	gbif	1065413188	Scapanus latimanus caurinus F.G.Palmer, 1937	7a25f7aa-03fb-4322-aaeb-66719e1a9527	493fe050-055d-11d8-b84f-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-28T07:21:59Z	2021-03-30T11:02:11Z	147	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	6163427	1	44	359	803	9469	2436187	2436194	6163427	Scapanus latimanus caurinus F.G.Palmer, 1937	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	caurinus	SUBSPECIES	ACCEPTED	NA	4828	NA	NA	NORTH_AMERICA	California	1968	4	8	1968-04-08	2018-11-01T00:00:00Z	2021-03-30T11:02:11Z	http://portal.vertnet.org/o/lacm/mammals?id=d7f9ec44-8a00-4d3b-a99a-86aef2b71972	http://creativecommons.org/publicdomain/zero/1.0/legalcode	2fc908ba-e775-49e2-bffe-6b9041c3b70f	FALSE	WGS84	Mammalia	US	United States of America	http://biocol.org/urn:lsid:biocol:org:34802	NA	Solano	NA	1065413188	en	PhysicalObject	skin	NA	092169	LACM	NA	NA	d7f9ec44-8a00-4d3b-a99a-86aef2b71972	NA	| United States | California | Solano Co |  |  |  |	ICZN	08 APR 1968	Kristina Yamamoto (MVZ)	NA	99	requires verification	Benicia	decimal degrees	Mammals	United States | California | Solano Co | Benicia	d7f9ec44-8a00-4d3b-a99a-86aef2b71972	Stoner, E A	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Soricomorpha | Talpidae | Scapanus	http://biocol.org/urn:lsid:biocol:org:34897	Terrain Navigator 3.02 USGS 1:24,000	NATIVE	NA	99	Hoy Collection	d7f9ec44-8a00-4d3b-a99a-86aef2b71972. LACM Vertebrates. http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts.	0b9fbf2e-5af8-4b06-9537-647eb8439783	NA	NA	4	LACM Vertebrates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190
