OriginalName	RevisedName	Order	Family	Genus	OriginalName_cleaned
Tamias/Neotamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias	Tamias/Neotamias sp
Tamias cf merriami	Tamias merriami	Rodentia	Sciuridae	Tamias	Tamias cf merriami
Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	Tamias sp
Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea	Taxidea taxus
Thomomys ?bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	Thomomys ?bottae
Thomomys bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	Thomomys bottae
Thomomys cf bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	Thomomys cf bottae
Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys	Thomomys sp
Urocyon cinereoargenteus	Urocyon cinereoargenteus	Carnivora	Canidae	Urocyon	Urocyon cinereoargenteus
Vertebrata cf Mammalia-NA	Mammalia	NA	NA	NA	Vertebrata cf Mammalia-NA
Vertebrata-NA	Vertebrata	NA	NA	NA	Vertebrata-NA
