"RevisedName"
"Dipodomys sp"
"Mephitis mephitis"
"Microtus sp"
"Mustela frenata"
"Neotamias/Tamias sp"
"Neotoma sp"
"Onychomys torridus"
"Otospermophilus beecheyi"
"Peromyscus maniculatus"
"Peromyscus sp"
"Reithrodontomys megalotis"
"Sorex sp"
"Spilogale gracilis"
"Sylvilagus sp"
"Tamias sp"
"Thomomys sp"
"Aves"
"Canis dirus"
"Canis latrans"
"Canis sp"
"Capromeryx minor"
"Lepus sp"
"Peromyscus californicus"
"Taxidea taxus"
"Hymenoptera"
"Mammalia"
"Artiodactyla"
"Carnivora"
"Rodentia"
"Eulipotyphla"
"Lagomorpha"
"Microtus californicus"
NA
"Neotoma macrotis"
"Scapanus latimanus"
"Sorex ornatus"
"Spermophilus sp"
"Sylvilagus audubonii"
"Sylvilagus bachmani"
"Tamias merriami"
"Thomomys bottae"
"Urocyon cinereoargenteus"
"Vertebrata"
