Taxon,Deposit.1,Deposit.13,Deposit.7B,Deposit.14
D.agilis ,2,30,21,86
M.californicus,119,89,64,254
M.frenata,3,21,3,4
M.mephitis,3,3,3,0
N.macrotis,5,7,31,24
O.beecheyi,51,68,17,50
O.torridus,0,3,0,0
P.californicus,7,4,3,6
P.maniculatus,25,112,66,131
R.megalotis,0,3,6,1
S. bachmani,27,0,5,54
S.audubonii,124,226,88,107
S.gracilis,1,0,0,1
S.latimanus,0,0,1,0
S.ornatus,2,0,1,5
T.bottae,8,12,39,34
T.merriami,1,5,1,2
