"Museum_Number"	"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"prelim_taxon_name"	"box"	"misc"
"31"	"LACMP23-28104"	"NSF-16-23"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"1"	"n"
"32"	"LACMP23-28105"	"NSF-16-24a"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"1"	"n"
"33"	"LACMP23-28106"	"NSF-16-24b"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"1"	"n"
"34"	"LACMP23-28107"	"NSF-16-25"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"35"	"LACMP23-28108"	"NSF-16-26"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"36"	"LACMP23-28109"	"NSF-16-27"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"37"	"LACMP23-28110"	"NSF-16-28"	"B2/L2"	"Mammalia"	"Carnivora"	"Canidae"	NA	"Canis"	"cf latrans"	"Canis cf latrans"	"1"	"n"
"38"	"LACMP23-28111"	"NSF-16-29"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"1"	"n"
"39"	"LACMP23-28112"	"NSF-16-30"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"40"	"LACMP23-28113"	"NSF-16-31"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"41"	"LACMP23-28114"	"NSF-16-32"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"42"	"LACMP23-28115"	"NSF-16-33"	"B2/L2"	"Mammalia"	"Rodentia"	"?Geomyidae"	NA	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"43"	"LACMP23-28116"	"NSF-16-34"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"1"	"n"
"44"	"LACMP23-28128"	"NSF-16-36"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	NA	"Mammalia-Rodentia"	"1"	"n"
"45"	NA	"NSF-16-37"	"B2/L2"	"Mammalia"	"Rodentia"	"?Heteromyidae"	NA	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"46"	NA	"NSF-16-38"	"B2/L2"	"Mammalia"	"???"	NA	NA	NA	NA	"Mammalia-???"	"1"	"n"
"47"	"LACMP23-28129"	"NSF-16-39"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"48"	"LACMP23-28130"	"NSF-16-40"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"1"	"n"
"49"	NA	"NSF-16-41"	"B2/L2"	"Insecta"	"Hymenoptera"	"Formicidae"	NA	NA	NA	"Insecta-Hymenoptera"	"1"	"n"
"50"	"LACMP23-28131"	"NSF-16-42"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"51"	"LACMP23-28132"	"NSF-16-43"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	NA	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"52"	"LACMP23-28133"	"NSF-16-44"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	"sp"	"cf Peromyscus sp"	"1"	"n"
"53"	"LACMP23-28134"	"NSF-16-45"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"54"	"LACMP23-28135"	"NSF-16-46"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"1"	"n"
"55"	"LACMP23-28136"	"NSF-16-47"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"56"	"LACMP23-28137"	"NSF-16-48"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"1"	"n"
"57"	"LACMP23-28138"	"NSF-16-49"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	"Dipodomyinae"	"Dipodomys"	"sp"	"Dipodomys sp"	"1"	"n"
"58"	"LACMP23-28139"	"NSF-16-50"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"59"	"LACMP23-28140"	"NSF-16-51"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"60"	"LACMP23-28141"	"NSF-16-52"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"61"	"LACMP23-28142"	"NSF-16-53"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"62"	"LACMP23-28143"	"NSF-16-54"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"63"	"LACMP23-28144"	"NSF-16-55"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"1"	"n"
"64"	"LACMP23-28145"	"NSF-16-56"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"1"	"n"
"65"	"LACMP23-28146"	"NSF-16-57"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
