"Museum_Number"	"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"prelim_taxon_name"	"box"	"misc"
"914"	"LACMP23-40506"	"NSF-19-442"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"?Peromyscus"	"sp"	"?Peromyscus sp"	"13"	"n"
"915"	"LACMP23-40507"	"NSF-19-443"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"cf californicus"	"Peromyscus cf californicus"	"13"	"n"
"916"	"LACMP23-40138"	"NSF-19-444"	"B2/L2"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"Thomomys sp"	"13"	"n"
"917"	"LACMP23-40139"	"NSF-19-445"	"B2/L2"	"Mammalia"	"Rodentia"	"?Geomyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"918"	"LACMP23-40140"	"NSF-19-446"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	"Dipodomyinae"	"Dipodomys"	"sp"	"Dipodomys sp"	"13"	"n"
"919"	"LACMP23-40141"	"NSF-19-447"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	"Dipodomyinae"	"Dipodomys"	"sp"	"Dipodomys sp"	"13"	"n"
"920"	"LACMP23-40142"	"NSF-19-448"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	"Dipodomyinae"	"Dipodomys"	"sp"	"Dipodomys sp"	"13"	"n"
"921"	"LACMP23-40143"	"NSF-19-449"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	"Dipodomyinae"	"Dipodomys"	"sp"	"Dipodomys sp"	"13"	"n"
"922"	"LACMP23-40144"	"NSF-19-450"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	"Dipodomyinae"	"?Dipodomys"	"sp"	"?Dipodomys sp"	"13"	"n"
"923"	"LACMP23-40145"	"NSF-19-451"	"B2/L2"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"924"	"LACMP23-40146"	"NSF-19-452"	"B2/L2"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"925"	"LACMP23-40147"	"NSF-19-453"	"B2/L2"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"926"	"LACMP23-40148"	"NSF-19-454"	"B2/L2"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"927"	"LACMP23-40149"	"NSF-19-455"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"13"	"n"
"928"	"LACMP23-40150"	"NSF-19-456"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"13"	"n"
"929"	"LACMP23-40151"	"NSF-19-457"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"930"	"LACMP23-40152"	"NSF-19-458"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Tamias"	"cf merriami"	"Tamias cf merriami"	"13"	"n"
"931"	"LACMP23-40153"	"NSF-19-459"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Tamias"	"sp"	"?Tamias sp"	"13"	"n"
"932"	"LACMP23-40154"	"NSF-19-460"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"13"	"n"
"933"	"LACMP23-40155"	"NSF-19-461"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"934"	"LACMP23-40156"	"NSF-19-462"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"935"	"LACMP23-40157"	"NSF-19-463"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"13"	"n"
"936"	"LACMP23-40548"	"NSF-19-464"	"B2/L2"	"Mammalia"	"Carnivora"	"Mustelidae"	"Mustelinae"	"Mustela"	"frenata"	"Mustela frenata"	"13"	"n"
"937"	"LACMP23-40549"	"NSF-19-465"	"B2/L2"	"Mammalia"	"Carnivora"	"Canidae"	NA	"Canis"	"latrans"	"Canis latrans"	"13"	"n"
"938"	"LACMP23-40550"	"NSF-19-466"	"B2/L2"	"Mammalia"	"Carnivora"	"Mustelidae"	"Mustelinae"	"Mustela"	"frenata"	"Mustela frenata"	"13"	"n"
"939"	"LACMP23-40551"	"NSF-19-467"	"B2/L2"	"Mammalia"	"Carnivora"	"Mustelidae"	"Mustelinae"	"Mustela"	"frenata"	"Mustela frenata"	"13"	"n"
"940"	"LACMP23-40158"	"NSF-19-468"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"macrotis"	"Neotoma macrotis"	"13"	"n"
"941"	"LACMP23-40159"	"NSF-19-469"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"Neotoma sp"	"13"	"n"
"942"	"LACMP23-40160"	"NSF-19-470"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf Microtus"	"sp"	"cf Microtus sp"	"13"	"n"
"943"	"LACMP23-40161"	"NSF-19-471"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"californicus"	"Microtus californicus"	"13"	"n"
"944"	"LACMP23-40162"	"NSF-19-472"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"13"	"n"
"945"	"LACMP23-40163"	"NSF-19-473"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"13"	"n"
"946"	"LACMP23-40164"	"NSF-19-474"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"13"	"n"
"947"	"LACMP23-40165"	"NSF-19-475"	"B2/L2"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"Thomomys sp"	"13"	"n"
"948"	"LACMP23-39835"	"NSF-19-476"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"949"	"LACMP23-39836"	"NSF-19-477"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"950"	"LACMP23-40166"	"NSF-19-478"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"13"	"n"
"951"	"LACMP23-40167"	"NSF-19-479"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"13"	"n"
"952"	"LACMP23-40168"	"NSF-19-480"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"13"	"n"
"953"	"LACMP23-40169"	"NSF-19-481"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"954"	"LACMP23-40170"	"NSF-19-482"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"955"	"LACMP23-40171"	"NSF-19-483"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"956"	"LACMP23-40172"	"NSF-19-484"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"957"	"LACMP23-40173"	"NSF-19-485"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"958"	"LACMP23-40174"	"NSF-19-486"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"959"	"LACMP23-40175"	"NSF-19-487"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"960"	"LACMP23-40176"	"NSF-19-488"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"961"	"LACMP23-40177"	"NSF-19-489"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"962"	"LACMP23-40178"	"NSF-19-490"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"13"	"n"
"963"	"LACMP23-40179"	"NSF-19-491"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"964"	"LACMP23-40180"	"NSF-19-492"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"965"	"LACMP23-40181"	"NSF-19-493"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"966"	"LACMP23-40182"	"NSF-19-494"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"967"	"LACMP23-40183"	"NSF-19-495"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"968"	"LACMP23-40184"	"NSF-19-496"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"969"	"LACMP23-40185"	"NSF-19-497"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"970"	"LACMP23-40186"	"NSF-19-498"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"971"	"LACMP23-40187"	"NSF-19-499"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"972"	"LACMP23-40188"	"NSF-19-500"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"973"	"LACMP23-40189"	"NSF-19-501"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"974"	"LACMP23-40190"	"NSF-19-502"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"13"	"n"
"975"	"LACMP23-40191"	"NSF-19-503"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"976"	"LACMP23-40192"	"NSF-19-504"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"977"	"LACMP23-40193"	"NSF-19-505"	"B2/L2"	"Mammalia"	"Lagomorpha"	NA	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"978"	"LACMP23-40194"	"NSF-19-506"	"B2/L2"	"Mammalia"	"Rodentia"	"?Cricetidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"979"	"LACMP23-40195"	"NSF-19-507"	"B2/L2"	"Mammalia"	"?Carnivora"	NA	NA	NA	NA	"Mammalia-?Carnivora"	"13"	"n"
"980"	"LACMP23-40508"	"NSF-19-508"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"981"	"LACMP23-40509"	"NSF-19-509"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"?Reithrodontomys"	"megalotis"	"?Reithrodontomys megalotis"	"13"	"n"
"982"	"LACMP23-40510"	"NSF-19-510"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"983"	"LACMP23-40511"	"NSF-19-511"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"984"	"LACMP23-40512"	"NSF-19-512"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"985"	"LACMP23-40513"	"NSF-19-513"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"986"	"LACMP23-40514"	"NSF-19-514"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"987"	"LACMP23-40515"	"NSF-19-515"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"988"	"LACMP23-40516"	"NSF-19-516"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"989"	"LACMP23-40196"	"NSF-19-517"	"B3/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	"Dipodomyinae"	"Dipodomys"	"sp"	"Dipodomys sp"	"13"	"n"
"990"	"LACMP23-40197"	"NSF-19-518"	"B3/L2"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"991"	"LACMP23-40198"	"NSF-19-519"	"B3/L2"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"992"	"LACMP23-40199"	"NSF-19-520"	"B3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"13"	"n"
"993"	"LACMP23-40200"	"NSF-19-521"	"B3/L2"	"Mammalia"	"Rodentia"	"Scuiridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"13"	"n"
"994"	"LACMP23-40201"	"NSF-19-522"	"B3/L2"	"Mammalia"	"Rodentia"	"Scuiridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"13"	"n"
"995"	"LACMP23-40202"	"NSF-19-523"	"B3/L2"	"Mammalia"	"Rodentia"	"Scuiridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"13"	"n"
"996"	"LACMP23-40203"	"NSF-19-524"	"B3/L2"	"Mammalia"	"Rodentia"	"Scuiridae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"997"	"LACMP23-40204"	"NSF-19-525"	"B3/L2"	"Mammalia"	"Rodentia"	"Scuiridae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"998"	"LACMP23-40205"	"NSF-19-526"	"B3/L2"	"Mammalia"	"Rodentia"	"?Sciuridae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"999"	"LACMP23-40206"	"NSF-19-527"	"B3/L2"	"Mammalia"	"Rodentia"	"?Sciuridae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"1000"	"LACMP23-40207"	"NSF-19-528"	"B3/L2"	"Mammalia"	"Rodentia"	"?Geomyidae"	NA	NA	NA	"Mammalia-Rodentia"	"13"	"n"
"1001"	"LACMP23-40208"	"NSF-19-529"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1002"	"LACMP23-40209"	"NSF-19-530"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"13"	"n"
"1003"	"LACMP23-40210"	"NSF-19-531"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"13"	"n"
"1004"	"LACMP23-40211"	"NSF-19-532"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"13"	"n"
"1005"	"LACMP23-40212"	"NSF-19-533"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"audubonii"	"Sylvilagus audubonii"	"13"	"n"
"1006"	"LACMP23-40213"	"NSF-19-534"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1007"	"LACMP23-40214"	"NSF-19-535"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1008"	"LACMP23-40215"	"NSF-19-536"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1009"	"LACMP23-40216"	"NSF-19-537"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1010"	"LACMP23-40217"	"NSF-19-538"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1011"	"LACMP23-40218"	"NSF-19-539"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1012"	"LACMP23-40219"	"NSF-19-540"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1013"	"LACMP23-40220"	"NSF-19-541"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1014"	"LACMP23-40221"	"NSF-19-542"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1015"	"LACMP23-40222"	"NSF-19-543"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1016"	"LACMP23-40223"	"NSF-19-544"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1017"	"LACMP23-40224"	"NSF-19-545"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1018"	"LACMP23-40225"	"NSF-19-546"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1019"	"LACMP23-40226"	"NSF-19-547"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1020"	"LACMP23-40227"	"NSF-19-548"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1021"	"LACMP23-40228"	"NSF-19-549"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1022"	"LACMP23-40229"	"NSF-19-550"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1023"	"LACMP23-40230"	"NSF-19-551"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1024"	"LACMP23-40231"	"NSF-19-552"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1025"	"LACMP23-40232"	"NSF-19-553"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1026"	"LACMP23-40233"	"NSF-19-554"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1027"	"LACMP23-40234"	"NSF-19-555"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1028"	"LACMP23-40235"	"NSF-19-556"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1029"	"LACMP23-40236"	"NSF-19-557"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1030"	"LACMP23-40237"	"NSF-19-558"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"13"	"n"
"1031"	"LACMP23-40238"	"NSF-19-559"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1032"	"LACMP23-40239"	"NSF-19-560"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1033"	"LACMP23-40240"	"NSF-19-561"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1034"	"LACMP23-40241"	"NSF-19-562"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1035"	"LACMP23-40242"	"NSF-19-563"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1036"	"LACMP23-40243"	"NSF-19-564"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1037"	"LACMP23-40244"	"NSF-19-565"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1038"	"LACMP23-40245"	"NSF-19-566"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1039"	"LACMP23-40246"	"NSF-19-567"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1040"	"LACMP23-40247"	"NSF-19-568"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1041"	"LACMP23-40248"	"NSF-19-569"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1042"	"LACMP23-40249"	"NSF-19-570"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1043"	"LACMP23-40250"	"NSF-19-571"	"B3/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	NA	NA	"Mammalia-Lagomorpha"	"13"	"n"
"1044"	"LACMP23-40251"	"NSF-19-572"	"A3/L3"	"Mammalia"	"Carnivora"	"Mustelidae"	NA	"Mustela"	"frenata"	"Mustela frenata"	"13"	"n"
"1045"	"LACMP23-40517"	"NSF-19-573"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1046"	"LACMP23-40518"	"NSF-19-574"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1047"	"LACMP23-40519"	"NSF-19-575"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1048"	"LACMP23-40520"	"NSF-19-576"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1049"	"LACMP23-40521"	"NSF-19-577"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1050"	"LACMP23-40522"	"NSF-19-578"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"?Onychomys"	"torridus"	"?Onychomys torridus"	"13"	"n"
"1051"	"LACMP23-40523"	"NSF-19-579"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1052"	"LACMP23-40524"	"NSF-19-580"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1053"	"LACMP23-40525"	"NSF-19-581"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
"1054"	"LACMP23-40526"	"NSF-19-582"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"?Peromyscus"	"sp"	"?Peromyscus sp"	"13"	"n"
"1055"	"LACMP23-40527"	"NSF-19-583"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"?Onychomys"	"torridus"	"?Onychomys torridus"	"13"	"n"
"1056"	"LACMP23-40528"	"NSF-19-584"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"13"	"n"
