occID,longitude,latitude
1,-118.32039,35.04717
1,-118.06027,36.23064
1,-115.683398376111,29.8568663536791
1,-116.258966486848,30.9695740232434
1,-113.647302759211,28.90109101863
1,-115.104310953103,29.4334046588134
1,-114.073402428138,29.2985453951636
1,-116.48708,33.54421
1,-118.856561,35.518585
1,-116.8686,32.6664
1,-118.99925,34.79295
1,-115.17919,30.927186
1,-120.865556,35.226944
1,-120.474705567765,37.949782101795
1,-116.710586089151,32.1600328647633
1,-120.517113751231,36.0660963585475
1,-116.5,33.08
1,-115.64875,31.13442
1,-119.785833,35.095
1,-119.831944,34.500556
1,-121.246195257811,36.4862004119852
1,-118.287027862456,34.5200321032234
1,-120.433924720327,34.8063687739017
1,-119.106667,34.350278
1,-117.938624125912,35.7823595476298
1,-117.120609,33.737713
1,-115.798056,32.218611
1,-118.491689,35.928979
1,-120.686223976946,36.608481823185
1,-121.920248676456,36.3374487556216
1,-122.248242687395,37.9001318722859
1,-120.178459287791,35.6497604315155
1,-117.899258985332,34.1295986107091
1,-122.045968787283,37.2523429946196
1,-121.682222,36.8325
1,-121.191263267436,37.2460019709731
1,-118.841336458242,36.5266447876613
1,-117.706211075411,33.4720816967716
1,-117.165279,33.141608
1,-121.195199,35.740524
1,-118.425556,33.926667
1,-114.83396,32.420727
1,-116.266667,32.666667
1,-119.25,32.783333
1,-117.166667,36.233333
1,-121.0388,38.9155
1,-119.781888999979,37.6742164866022
1,-121.514443479253,37.6301487562015
1,-119.905445302567,37.216941691305
1,-116.947281439491,34.1741419089132
1,-115.308182,30.464308
1,-116.01667,31.616667
1,-120.469833,39.808353
1,-119.771704614252,36.7478855459536
