occID,longitude,latitude
1,-118.01979,36.32242
1,-117.908751,35.837806
1,-121.856809401939,36.923510150629
1,-118.38717,34.66269
1,-121.21128,36.49726
1,-117.374719,33.383751
1,-118.856561,35.518585
1,-119.115731,36.729105
1,-119.99339,35.06745
1,-120.003878,36.736608
1,-116.71965,33.13186
1,-116.17487,33.92969
1,-120.47865,37.66512
1,-116.83917,32.56099
1,-116.89984,34.26529
1,-117.215,39.9312
1,-120.637222,34.888333
1,-118.504074,33.450394
1,-119.358986,37.13967
1,-119.697222,34.420833
1,-109.975998,23.545
1,-121.852711361162,36.3541958759898
1,-119.114722,34.096389
1,-122.538906642174,39.6775817269222
1,-119.466003,35.652
1,-120.95944,37.35778
1,-120.834755,35.326023
1,-119.1642,34.8439
1,-120.266667,35.733333
1,-121.822973150125,38.4454317999795
1,-121.622222348567,37.5834839250664
1,-121.289581583283,37.9635822931596
1,-117.674489553514,34.2035921039451
1,-122.01248448522,40.8481430660487
1,-122.761564897605,39.1212143853672
1,-120.63092,36.35948
1,-121.174525542143,35.9707247018059
1,-120.76702839568,36.8230761047018
1,-122.220408634979,37.4023211625454
1,-122.37167835881,37.9663294216213
1,-122.834566642519,38.4736028162189
1,-121.671075496513,39.6077003573707
1,-117.891445809269,33.6254939864497
1,-118.21,35.37
1,-115.708324519508,30.0562192900349
1,-122.18016,40.37479
1,-115.933889828619,30.5750902150361
1,-117.3,32.833332
1,-119.8059,37.6731
1,-122.241050704931,38.8861723999711
1,-116.76049,33.72238
1,-120.839682,40.763226
1,-118.24,34.04
1,-115.410568,30.922213
1,-119.17,37.728
1,-120.32,34.041667
