occID,longitude,latitude
1,-116.50997,33.64318
1,-121.737,37.3816
1,-114.456785312506,28.9104361132393
1,-121.172266,37.5899689990878
1,-121.434441,38.1668029990831
1,-111.873889,25.443889
1,-115.750278,31.333611
1,-122.993430718338,38.5082307630127
1,-119.843895,34.412575
1,-123.703003,42.081799
1,-119.01232454992,38.2115790486603
1,-123.654496167727,43.6423336643047
1,-117.176963,34.339393
1,-118.655575537798,34.0547284311011
1,-117.431086,33.806065
1,-119.518856111352,37.2831691714945
1,-117.288327,33.043292
1,-122.317768251832,41.4738037193007
1,-122.102392728181,45.5308314950946
1,-120.820549410555,35.3468834444506
1,-122.57669734657,45.1472298348048
1,-123.261705785265,44.6947670804601
1,-123.779174038434,39.3299976008899
1,-114.089444,28.257222
1,-114.850509051632,27.6335343420613
1,-122.794568384265,45.7541634547674
1,-123.820187396203,41.1512763019396
1,-114.772222,29.755278
1,-112.050438440592,26.5602578097219
1,-124.033218349109,44.3623227655311
1,-118.359990613965,36.02569645775
1,-120.237960493168,35.2791285988103
1,-124.21670470571,43.3678314439261
1,-116.658,31.535
1,-122.379020349918,37.2555832276761
1,-118.416041208196,34.4602548303507
1,-117.890775407128,34.5852421116259
1,-121.242074740687,36.4507873034689
1,-120.64555326637,36.3735548058149
1,-118.841336458242,36.5266447876613
1,-121.968165353683,39.5320552606222
1,-118.34507,35.479333
1,-116.308408,32.617001
1,-123.502531002115,40.5003387937983
1,-122.828722329164,40.1588015837565
1,-113.753056,28.743056
1,-115.283333,29.983333
1,-115.814994996884,30.3128768351983
1,-115.23,28.03
1,-124.2,41.76
1,-114.877219,29.278468
1,-110.633611,24.924167
1,-120.456944,34.639167
1,-112.222668629515,27.2249530979109
1,-112.895833,27.281944
1,-116.145,31.873
1,-115.047160357582,32.5728147955666
1,-122.225207,40.190329
1,-121.340505429254,39.4391962406444
1,-120.542448692752,38.0720469638097
1,-119.25,32.783333
1,-121.836357080352,36.6090928006391
1,-122.483333,42.75
1,-121.318548386421,35.7644148262655
1,-124.15,40.6
1,-120.291147628557,37.6562409011332
1,-123.8454,45.45564
1,-115.066086,34.781945
1,-123.528392384789,38.7665339233954
1,-123.248029991275,39.7487333170412
1,-122.241050704931,38.8861723999711
1,-121.913809828663,37.8815380092046
1,-116.523592066208,33.1760032832722
1,-113.944523,27.444328
1,-119.267076687893,34.273594948476
1,-122.296409215223,40.7844746357175
1,-118.97429832452,34.7799101507668
1,-118.087281950659,34.0946432837504
1,-110.159111,23.465401
1,-117.033333,32.333332
1,-115.308182,30.464308
1,-124.421822,42.407333
1,-122.698598,38.061588
1,-120.806533358863,38.7287443449453
1,-109.688256,23.179328
1,-120.469833,39.808353
1,-122.757912,39.380638
1,-116.100562859136,30.9667351019936
1,-115.41057,30.92221
