NSF Number	Grid/Level	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	Museum_Number	prelim_taxon_name	element
NSF-19-54	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower right tooth					
NSF-19-55	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper lt tooth					
NSF-19-56	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper lt tooth					
NSF-19-57	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower lt tooth					
NSF-19-58	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower lt tooth					
NSF-19-59	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower rt tooth					
NSF-19-60	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower lt tooth					
NSF-19-61	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth					
NSF-19-62	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-63	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower rt tooth					
NSF-19-64	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-65	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower p3 frag					
NSF-19-66	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower lt tooth					
NSF-19-67	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower lt tooth					
NSF-19-68	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-69	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower m3					
NSF-19-70	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower rt tooth 					
NSF-19-71	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-72	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower tooth frag	waterworn				
NSF-19-73	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower tooth frag					
NSF-19-74	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower tooth frag					
NSF-19-75	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower tooth frag					
NSF-19-76	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M3					
NSF-19-77	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower m3 frag					
NSF-19-78	A3/L3	Mammalia	Carnivora					partial premolar					
NSF-19-79	A3/L3	Mammalia	Carnivora	Mustelidae		Mustela	frenata	upper lt P4 frag					
NSF-19-80	A3/L3	Mammalia	Carnivora					premolar					
