UCIAMS_Number,Species,Taxon,X14C_age_BP,median_age,time_group,d13C,d15N
Y2450,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.4,7.7
Y2427,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.8,8.4
Y5507,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.4,7.6
Y2260,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.4,8.1
Y2235,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.7,8.8
Y2313,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.9,9
Y5486,Bison antiquus,Bison (n = 20),,,Pleistocene,-20,8.7
HC23969,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.9,8.2
Y5484,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.6,9.6
HC23970,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.6,10
HC23974,Bison antiquus,Bison (n = 20),,,Pleistocene,-21.2,11
Y2421,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.4,8.4
Y2432,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.4,9.7
HC36190,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.8,11.2
HC33276,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.8,9.2
HC46647,Bison antiquus,Bison (n = 20),,,Pleistocene,-20,9.1
HC36876,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.1,9.9
P23-22780 ,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.2,10.72
P23-2798,Bison antiquus,Bison (n = 20),,,Pleistocene,-20,7.9
P23-16259  ,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.1,9.8
Z1389,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.4,8.3
Z1117,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-19.6,7.5
Z1276,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.3,9.7
Z1273,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.7,9
Z1268,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-21,9.9
Z1279,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.4,8.8
Z1281,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.6,9
