"","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_6","wc2.1_5m_bio_12","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15"
"mean",15.3323207391491,615.221240719302,32.8714031210367,1.17320264238887,363.145758661888,69.7813620071685,1.6989247311828,81.9860957885159
"median",15.9477920532227,646.138366699219,32.6650009155273,0.537999987602234,367,74,1,82.3781433105469
"var",9.04794768050198,23250.2031380531,18.7053850120544,10.3040474329575,28274.6629395254,1084.03467613315,2.31833616298812,195.516436394275
"sd",3.00798066491492,152.480172934231,4.32497225563984,3.20999181197671,168.150714953953,32.9246818683666,1.52260834195407,13.9827192060155
"max",22.9103336334229,887.343811035156,43.0799980163574,8.85280895233154,836,148,10,108.915161132812
"min",4.57833337783813,163.205001831055,21.3464279174805,-9.80900001525879,77,12,0,48.5689697265625
