"","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_6","wc2.1_5m_bio_12","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15"
"mean",12.351087093648,715.121556619806,31.0809079114185,-3.99185014318214,482.876782370733,81.6632399539104,12.4220257813625,55.6508977777004
"median",11.7628126144409,750.552795410156,31.6159992218018,-4.16149997711182,372,63,10,55.4512348175049
"var",36.1937472977373,29794.688972159,26.0245425218945,42.9518980663644,154506.033320104,4775.62241692631,120.145406147653,660.567682521499
"sd",6.01612394301657,172.611381351749,5.10142553820935,6.55376975994461,393.072554778509,69.1058783094919,10.9610859930781,25.7015112886674
"max",25.4341259002686,1170.42907714844,45.6580009460449,13.0310001373291,3347,543,73,138.263549804688
"min",-4.66279172897339,163.205001831055,9.11900043487549,-21.7630004882812,46,9,0,5.60951328277588
