"","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_6","wc2.1_5m_bio_12","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15"
"mean",11.4990147809173,819.537917466247,31.0626941331447,-6.51511332993557,514.860219165799,86.3629950021758,12.684556855195,57.9373423563515
"median",10.4557914733887,842.613464355469,30.9449996948242,-7.82200002670288,418,75,10,58.307445526123
"var",25.8619881870771,69055.6445703632,13.8941183100078,53.2569047702227,99446.0609811578,3372.90516980398,121.864401367933,548.767402903318
"sd",5.08546833507762,262.784407015263,3.72748149693702,7.29773285138766,315.350695228594,58.0767179668753,11.039221048966,23.4257850007917
"max",27.3306255340576,1324.65625,45.6580009460449,17.80299949646,4266,745,94,124.741828918457
"min",-2.71104168891907,55.716911315918,14.2369995117188,-21.7040004730225,46,9,0,9.38222122192383
