"","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_6","wc2.1_5m_bio_12","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15"
"mean",5.61845194919095,1012.26083298665,25.9970378158634,-14.5580776907794,679.966221910432,95.7943158057771,27.6532860181942,45.2376103599395
"median",4.71766662597656,1009.37384033203,25.3719997406006,-14.5410003662109,568,90,18,46.8881988525391
"var",50.3105609117876,81408.5489521562,32.9338351780515,103.55836736526,137565.370428824,2328.53567304693,514.440781031937,464.967702375925
"sd",7.09299379047998,285.321833991295,5.73880084843964,10.1763631698785,370.898059348959,48.2549030985135,22.6812870232696,21.5631097566173
"max",28.4027500152588,1667.31140136719,45.6580009460449,18.2815208435059,4236,611,158,138.263549804688
"min",-10.1702919006348,95.7141876220703,6.6729998588562,-32.6370010375977,46,9,0,5.47054576873779
