"","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_6","wc2.1_5m_bio_12","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15"
"mean",NA,NA,NA,NA,NA,NA,NA,NA
"median",NA,NA,NA,NA,NA,NA,NA,NA
"var",NA,NA,NA,NA,NA,NA,NA,NA
"sd",NA,NA,NA,NA,NA,NA,NA,NA
"max",NA,NA,NA,NA,NA,NA,NA,NA
"min",NA,NA,NA,NA,NA,NA,NA,NA
