"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"658"	"NSF-19-178"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"upper tooth frag"	""	NA	NA	"Sylvilagus sp"	"13"
"659"	"NSF-19-179"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus"	""	"tooth frag"	""	NA	NA	"Mammalia-Lagomorpha"	"13"
"660"	"NSF-19-180"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus"	""	"tooth frag"	""	NA	NA	"Mammalia-Lagomorpha"	"13"
"661"	"NSF-19-181"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Neotoma"	""	"molar frag"	""	NA	NA	"Mammalia-Rodentia"	"13"
"662"	"NSF-19-182"	"B2/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"upper lt M1/M2"	""	NA	NA	"Otospermophilus beecheyi"	"13"
"663"	"NSF-19-183"	"B2/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"upper rt M1/M2"	""	NA	NA	"Otospermophilus beecheyi"	"13"
"664"	"NSF-19-184"	"B2/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"upper lt M3"	""	NA	NA	"Otospermophilus beecheyi"	"13"
"665"	"NSF-19-185"	"B2/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"upper tooth frag"	""	NA	NA	"Sciuridae"	"13"
"666"	"NSF-19-186"	"B2/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"cf Otospermophilus"	"beecheyi"	"partial lt dentary"	"no teeth"	NA	NA	"cf Otospermophilus beecheyi"	"13"
"667"	"NSF-19-187"	"B2/L1"	"Mammalia"	"Rodentia"	"cf Sciuridae"	""	""	""	"lower tooth frag"	""	NA	NA	"cf Sciuridae"	"13"
"668"	"NSF-19-188"	"B2/L1"	"Mammalia"	"Rodentia"	"cf Sciuridae"	""	""	""	"lower tooth frag"	""	NA	NA	"cf Sciuridae"	"13"
"669"	"NSF-19-189"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"cf Thomomys"	""	"molar"	"juv"	NA	NA	"Mammalia-Rodentia"	"13"
"670"	"NSF-19-190"	"B2/L1"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp"	"lower molar"	""	NA	NA	"Dipodomys sp"	"13"
"671"	"NSF-19-191"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	NA	NA	"Geomyidae/Heteromyidae"	"13"
"672"	"NSF-19-192"	"B2/L1"	"Mammalia"	"Rodentia"	"cf Geomyidae"	""	"cf Thomomys"	""	"tooth"	"juv"	NA	NA	"Mammalia-Rodentia"	"13"
"673"	"NSF-19-193"	"B2/L1"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp"	"lower p4"	"juv?"	NA	NA	"Dipodomys sp"	"13"
"674"	"NSF-19-194"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	NA	NA	"Geomyidae/Heteromyidae"	"13"
"675"	"NSF-19-195"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	NA	NA	"Geomyidae/Heteromyidae"	"13"
"676"	"NSF-19-196"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	NA	NA	"Geomyidae/Heteromyidae"	"13"
"677"	"NSF-19-197"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	NA	NA	"Geomyidae/Heteromyidae"	"13"
"678"	"NSF-19-198"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	NA	NA	"Geomyidae/Heteromyidae"	"13"
"679"	"NSF-19-199"	"B2/L1"	"Mammalia"	"Carnivora"	""	""	""	""	"upper canine"	""	NA	NA	"Mammalia-Carnivora"	"13"
"680"	"NSF-19-200"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"upper right M1"	"accessory loph "	NA	NA	"Mammalia-Rodentia"	"13"
"681"	"NSF-19-201"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower lt m2"	""	NA	NA	"Cricetidae (Neotominae)"	"13"
"682"	"NSF-19-202"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"upper lt M1"	""	NA	NA	"Mammalia-Rodentia"	"13"
"683"	"NSF-19-203"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower rt m2"	""	NA	NA	"Cricetidae (Neotominae)"	"13"
"684"	"NSF-19-204"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower lt m1"	"grade 1+, surface covered"	NA	NA	"Mammalia-Rodentia"	"13"
"685"	"NSF-19-205"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower lt m1"	"grade 1"	NA	NA	"Cricetidae (Neotominae)"	"13"
"686"	"NSF-19-206"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower rt m1"	"grade 0"	NA	NA	"Mammalia-Rodentia"	"13"
"687"	"NSF-19-207"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower lt m1"	"grade 1"	NA	NA	"Cricetidae (Neotominae)"	"13"
"688"	"NSF-19-208"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"upper lt M2"	""	NA	NA	"Cricetidae (Neotominae)"	"13"
"689"	"NSF-19-209"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"upper lt M2"	""	NA	NA	"Cricetidae (Neotominae)"	"13"
"690"	"NSF-19-210"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"upper lt M1"	""	NA	NA	"Mammalia-Rodentia"	"13"
"691"	"NSF-19-211"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower lt m2"	""	NA	NA	"Cricetidae (Neotominae)"	"13"
"692"	"NSF-19-212"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower rt m2"	""	NA	NA	"Cricetidae (Neotominae)"	"13"
"693"	"NSF-19-213"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lt maxillary frag"	""	NA	NA	"Cricetidae (Neotominae)"	"13"
"694"	"NSF-19-214"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf megalotis"	"lower rt m1"	"grade 1"	NA	NA	"Reithrodontomys cf megalotis"	"13"
"695"	"NSF-19-215"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower lt m2"	"juv?"	NA	NA	"Cricetidae (Neotominae)"	"13"
"696"	"NSF-19-216"	"B3/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"upper lt M1"	"small accessory loph"	NA	NA	"Peromyscus sp"	"13"
"697"	"NSF-19-217"	"B3/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower lt m1"	"grade 0-1"	NA	NA	"Mammalia-Rodentia"	"13"
"698"	"NSF-19-218"	"B3/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower lt m2"	"juv?"	NA	NA	"Cricetidae (Neotominae)"	"13"
"699"	"NSF-19-219"	"B3/L1"	"Mammalia"	"Rodentia"	""	""	""	""	"rt anterior dentary frag"	""	NA	NA	"Mammalia-Rodentia"	"13"
"700"	"NSF-19-220"	"B3/L1"	"Mammalia"	"Carnivora"	""	""	""	""	"lower rt m1"	""	NA	NA	"Mammalia-Carnivora"	"13"
"701"	"NSF-19-221"	"B3/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower rt m1"	""	NA	NA	"Microtus sp"	"13"
"702"	"NSF-19-222"	"B3/L1"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp"	"lower rt p4"	""	NA	NA	"Dipodomys sp"	"13"
"703"	"NSF-19-223"	"B3/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	NA	NA	"Geomyidae/Heteromyidae"	"13"
"704"	"NSF-19-224"	"B3/L1"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp"	"molar"	""	NA	NA	"Dipodomys sp"	"13"
"705"	"NSF-19-225"	"B3/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	NA	NA	"Geomyidae/Heteromyidae"	"13"
"706"	"NSF-19-226"	"B3/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"upper tooth frag"	""	NA	NA	"Sylvilagus sp"	"13"
"707"	"NSF-19-227"	"B3/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower rt m1 frag"	""	NA	NA	"Microtus sp"	"13"
"708"	"NSF-19-228"	"B3/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"tooth frag"	""	NA	NA	"Sylvilagus sp"	"13"
"709"	"NSF-19-229"	"B3/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"lower rt p4"	"small for beecheyi"	NA	NA	"Sciuridae"	"13"
"710"	"NSF-19-230"	"B3/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"lower rt p4"	"small for beecheyi"	NA	NA	"Sciuridae"	"13"
"711"	"NSF-19-231"	"B3/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"lower molar frag"	""	NA	NA	"Sciuridae"	"13"
"712"	"NSF-19-232"	"B3/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"lower tooth frag"	""	NA	NA	"Sciuridae"	"13"
"713"	"NSF-19-233"	"B3/L1"	"Mammalia"	"Rodentia"	"cf Sciuridae"	""	""	""	"tooth frag"	""	NA	NA	"cf Sciuridae"	"13"
"714"	"NSF-19-234"	"B3/L1"	"Mammalia"	"cf Rodentia"	""	""	""	""	"lt anterior dentary frag"	""	NA	NA	"Mammalia-cf Rodentia"	"13"
"715"	"NSF-15-01"	"B2/L2"	"Mammalia"	"Carnivora"	"Canidae"	""	"Canis"	"cf. dirus"	"Lower left i1"	""	""	"LACMP23-25722"	"Canis cf. dirus"	"14"
"716"	"NSF-15-03"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"Left maxilla and zygoma; P3-M2"	""	""	"LACMP23-25729"	"Mammalia-Lagomorpha"	"14"
"717"	"NSF-15-04"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"Left maxilla and zygoma; P3-M1"	"P2, M2, M3 alveoli present as well"	""	"LACMP23-25728"	"Mammalia-Lagomorpha"	"14"
"718"	"NSF-15-05"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	""	""	"Upper cheek-tooth"	""	""	"LACMP23-25722"	"Leporidae"	"14"
"719"	"NSF-15-06"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf Spermophilus"	"lateralis?"	"Lower left molar"	""	""	"LACMP23-25720"	"cf Spermophilus lateralis?"	"14"
"720"	"NSF-15-07"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"cf Dipodomys"	""	"Lower p4?"	""	""	"LACMP23-25721"	"Mammalia-Rodentia"	"14"
"721"	"NSF-15-08"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Peromyscus "	""	"Upper left M1"	""	""	"LACMP23-25724"	"Mammalia-Rodentia"	"14"
"722"	"NSF-15-09"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Peromyscus "	""	"Lower left m1"	""	""	"LACMP23-25725"	"Mammalia-Rodentia"	"14"
"723"	"NSF-15-27"	"B2/L2  "	"Vertebrata cf. Mammalia"	""	""	""	""	""	"Claw"	""	""	""	"Vertebrata cf. Mammalia-"	"14"
"724"	"NSF-15-37"	"B2/L2  "	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys "	""	"m1/m2 (upper or lower)"	""	""	"LACMP23-25723"	"Mammalia-Rodentia"	"14"
"725"	"NSF-15-38"	"B2/L2  "	"Mammalia"	"Rodentia undet."	""	""	""	""	"Incisor"	""	""	"LACMP23-25726"	"Mammalia-Rodentia undet."	"14"
"726"	"NSF-15-42"	"B2/L2  "	"Vertebrata"	""	""	""	""	""	"Assorted claws"	""	""	""	"Vertebrata-"	"14"
"727"	"NSF-15-54"	"B2/L2"	"Vertebrata "	""	""	""	""	""	"Assorted claws"	""	""	""	"Vertebrata -"	"14"
"728"	""	""	""	""	""	""	""	""	""	""	""	""	"-"	"14"
"729"	"NSF-17-01"	"C3/L5"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf beecheyi"	"upper right M3"	""	""	"LACMP23-31501"	"Otospermophilus cf beecheyi"	"14"
"730"	"NSF-17-02"	"C3/L5"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf beecheyi"	"lower left m3"	""	""	"LACMP23-31502"	"Otospermophilus cf beecheyi"	"14"
"731"	"NSF-17-03"	"C3/L5"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp"	"lower p4?"	""	""	"LACMP23-31503"	"Dipodomys sp"	"14"
"732"	"NSF-17-04"	"C3/L5"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp"	"juv. molar"	""	""	"LACMP23-31504"	"Dipodomys sp"	"14"
"733"	"NSF-17-05"	"C3/L5"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"cf Dipodomys"	""	"molar"	"occlusal surface obstructed by adhesive"	""	"LACMP23-31505"	"Mammalia-Rodentia"	"14"
"734"	"NSF-17-06"	"C3/L5"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"cf Dipodomys"	""	"P4/p4?"	"occlusal surface broken"	""	"LACMP23-31506"	"Mammalia-Rodentia"	"14"
"735"	"NSF-17-07"	"C3/L5"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"lower (left?) m1/m2"	""	""	"LACMP23-31507"	"Thomomys sp"	"14"
"736"	"NSF-17-08"	"C3/L5"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"cf Thomomys"	""	"molar"	"occlusal surface broken"	""	"LACMP23-31508"	"Mammalia-Rodentia"	"14"
"737"	"NSF-17-09"	"C3/L5"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"lower right m3?"	""	""	"LACMP23-31509"	"Thomomys sp"	"14"
"738"	"NSF-17-10"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"upper right M1"	"occlusal surface partially broken"	""	"LACMP23-31510"	"Neotoma sp"	"14"
"739"	"NSF-17-11"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Neotoma"	""	"upper molar frag"	""	""	"LACMP23-31511"	"Mammalia-Rodentia"	"14"
"740"	"NSF-17-12"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"lower right m2"	""	""	"LACMP23-31512"	"Peromyscus sp"	"14"
"741"	"NSF-17-13"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf megalotis"	"lower right m1"	""	""	"LACMP23-31513"	"Reithrodontomys cf megalotis"	"14"
"742"	"NSF-17-14"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"upper left M2"	""	""	"LACMP23-31514"	"Mammalia-Rodentia"	"14"
"743"	"NSF-17-15"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf megalotis"	"lower left m1"	""	""	"LACMP23-31515"	"Reithrodontomys cf megalotis"	"14"
"744"	"NSF-17-16"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"lower left m1"	""	""	"LACMP23-31516"	"Peromyscus sp"	"14"
"745"	"NSF-17-17"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"upper left M1"	""	""	"LACMP23-31517"	"Mammalia-Rodentia"	"14"
"746"	"NSF-17-18"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower left molar (m2?)"	"worn"	""	"LACMP23-31518"	"Cricetidae (Neotominae)"	"14"
"747"	"NSF-17-19"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"partial upper right M1"	""	""	"LACMP23-31519"	"Mammalia-Rodentia"	"14"
"748"	"NSF-17-20"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower right m2"	""	""	"LACMP23-31520"	"Mammalia-Rodentia"	"14"
"749"	"NSF-17-21"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"lower right m2"	""	""	"LACMP23-31521"	"Microtus  sp"	"14"
"750"	"NSF-17-22"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"partial lower right m1"	""	""	"LACMP23-31522"	"Microtus  sp"	"14"
"751"	"NSF-17-23"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper right M3"	""	""	"LACMP23-31523"	"Microtus  sp"	"14"
"752"	"NSF-17-24"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"lower right m2"	""	""	"LACMP23-31524"	"Microtus  sp"	"14"
"753"	"NSF-17-25"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper left M2"	""	""	"LACMP23-31525"	"Microtus  sp"	"14"
"754"	"NSF-17-26"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"lower right m2"	""	""	"LACMP23-31526"	"Microtus  sp"	"14"
"755"	"NSF-17-27"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"molar frag"	""	""	"LACMP23-31527"	"Microtus  sp"	"14"
"756"	"NSF-17-28"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper right M3"	""	""	"LACMP23-31528"	"Microtus  sp"	"14"
"757"	"NSF-17-29"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper right M1"	""	""	"LACMP23-31529"	"Microtus  sp"	"14"
"758"	"NSF-17-30"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper left M2"	""	""	"LACMP23-31530"	"Microtus  sp"	"14"
"759"	"NSF-17-31"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf Microtus "	""	"lower right m2"	"gracile for Microtus"	""	"LACMP23-31531"	"Mammalia-Rodentia"	"14"
"760"	"NSF-17-32"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf Microtus "	""	"molar frag"	""	""	"LACMP23-31532"	"Mammalia-Rodentia"	"14"
"761"	"NSF-17-33"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper right M2"	""	""	"LACMP23-31533"	"Microtus  sp"	"14"
"762"	"NSF-17-34"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper right M1"	""	""	"LACMP23-31534"	"Microtus  sp"	"14"
"763"	"NSF-17-35"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf Microtus "	""	"lower right m2"	"gracile for Microtus"	""	"LACMP23-31535"	"Mammalia-Rodentia"	"14"
"764"	"NSF-17-36"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper right M2"	""	""	"LACMP23-31536"	"Microtus  sp"	"14"
"765"	"NSF-17-37"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"partial lower left m1"	""	""	"LACMP23-31537"	"Microtus  sp"	"14"
"766"	"NSF-17-38"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper left M1"	""	""	"LACMP23-31538"	"Microtus  sp"	"14"
"767"	"NSF-17-39"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"lower right m2"	""	""	"LACMP23-31539"	"Microtus  sp"	"14"
"768"	"NSF-17-40"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"lower left m1"	""	""	"LACMP23-31540"	"Microtus  sp"	"14"
"769"	"NSF-17-41"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"lower left m1"	""	""	"LACMP23-31541"	"Microtus  sp"	"14"
"770"	"NSF-17-42"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"upper right M2"	""	""	"LACMP23-31542"	"Microtus  sp"	"14"
"771"	"NSF-17-43"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus "	"sp"	"partial upper right M2"	""	""	"LACMP23-31543"	"Microtus  sp"	"14"
"772"	"NSF-17-44"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"right dentary"	""	""	"LACMP23-31544"	"Mammalia-Rodentia"	"14"
"773"	"NSF-17-45"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"right dentary"	""	""	"LACMP23-31545"	"Mammalia-Rodentia"	"14"
"774"	"NSF-17-46"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"right dentary"	""	""	"LACMP23-31546"	"Mammalia-Rodentia"	"14"
"775"	"NSF-17-47"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"right dentary"	""	""	"LACMP23-31547"	"Mammalia-Rodentia"	"14"
"776"	"NSF-17-48"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"partial left dentary"	""	""	"LACMP23-31548"	"Mammalia-Rodentia"	"14"
"777"	"NSF-17-49"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"partial left dentary"	""	""	"LACMP23-31549"	"Cricetidae (Neotominae)"	"14"
"778"	"NSF-17-50"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"dentary frag"	""	""	"LACMP23-31550"	"Cricetidae (Neotominae)"	"14"
"779"	"NSF-17-51"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"upper left M1"	""	""	"LACMP23-31551"	"Peromyscus sp"	"14"
"780"	"NSF-17-52"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"partial molar"	"poorly preserved, digested?"	""	"LACMP23-31552"	"Cricetidae (Neotominae)"	"14"
"781"	"NSF-17-53"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"molar frag"	""	""	"LACMP23-31553"	"Cricetidae (Neotominae)"	"14"
"782"	"NSF-17-54"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"molar (lower left m2?)"	"poorly preserved, digested?"	""	"LACMP23-31554"	"Cricetidae (Neotominae)"	"14"
"783"	"NSF-17-55"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"molar frag"	"poorly preserved, digested?"	""	"LACMP23-31555"	"Cricetidae (Neotominae)"	"14"
"784"	"NSF-17-56"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"upper M3"	"poorly preserved"	""	"LACMP23-31556"	"Cricetidae (Neotominae)"	"14"
"785"	"NSF-17-57"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"upper right M2"	""	""	"LACMP23-31557"	"Mammalia-Rodentia"	"14"
"786"	"NSF-17-58"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower left m2"	""	""	"LACMP23-31558"	"Mammalia-Rodentia"	"14"
"787"	"NSF-17-59"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"lower right m1"	""	""	"LACMP23-31559"	"Peromyscus sp"	"14"
"788"	"NSF-17-60"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"lower right m2"	""	""	"LACMP23-31560"	"Mammalia-Rodentia"	"14"
"789"	"NSF-17-61"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower right m1"	"poorly preserved, digested?"	""	"LACMP23-31561"	"Mammalia-Rodentia"	"14"
"790"	"NSF-17-62"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"lower right m1 "	"broken (3 frags)"	""	"LACMP23-31562"	"Cricetidae (Neotominae)"	"14"
"791"	"NSF-17-63"	"C3/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"upper left M1"	"poorly preserved, digested?"	""	"LACMP23-31563"	"Cricetidae (Neotominae)"	"14"
