"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"32"	"NSF-16-21"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"cf. Dipodomys"	"sp."	"tooth frag"	""	""	"LACMP23-28102"	"cf. Dipodomys sp."	"1"
"33"	"NSF-16-22"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"partial juv. lower right molar"	""	""	"LACMP23-28103"	"Otospermophilus cf. beecheyi"	"1"
"34"	"NSF-16-23"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper right M3"	""	""	"LACMP23-28104"	"Otospermophilus cf. beecheyi"	"1"
"35"	"NSF-16-24a"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower right p3"	""	""	"LACMP23-28105"	"Sylvilagus sp."	"1"
"36"	"NSF-16-24b"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	""	""	"tooth frag"	""	""	"LACMP23-28106"	"Leporidae"	"1"
"37"	"NSF-16-25"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf. Otospermophilus"	"beecheyi"	"lower molar fragment"	""	""	"LACMP23-28107"	"cf. Otospermophilus beecheyi"	"1"
"38"	"NSF-16-26"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"lower right m3"	""	""	"LACMP23-28108"	"Microtus sp."	"1"
"39"	"NSF-16-27"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower tooth frag"	"Moderate occlusal deformation"	""	"LACMP23-28109"	"Sylvilagus sp."	"1"
"40"	"NSF-16-28"	"B2/L2"	"Mammalia"	"Carnivora"	"Canidae"	""	"Canis"	"cf. latrans"	"lower right i1"	""	""	"LACMP23-28110"	"Canis cf. latrans"	"1"
"41"	"NSF-16-29"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"upper tooth fragment"	""	""	"LACMP23-28111"	"Mammalia-Lagomorpha"	"1"
"42"	"NSF-16-30"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper left M1"	""	""	"LACMP23-28112"	"Microtus sp."	"1"
"43"	"NSF-16-31"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"lower left m2"	"anterior portion broken"	""	"LACMP23-28113"	"Microtus sp."	"1"
"44"	"NSF-16-32"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper M3"	""	""	"LACMP23-28114"	"Sylvilagus sp."	"1"
"45"	"NSF-16-33"	"B2/L2"	"Mammalia"	"cf. Rodentia"	"cf. Geomyidae"	""	""	""	"molariform tooth"	"Occlusal surface partially broken"	""	"LACMP23-28115"	"cf. Geomyidae"	"1"
"46"	"NSF-16-34"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"partial tooth"	""	""	"LACMP23-28116"	"Mammalia-Lagomorpha"	"1"
"48"	"NSF-16-36"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf. megalotis"	"upper right M1"	""	""	"LACMP23-28128"	"Reithrodontomys cf. megalotis"	"1"
"49"	"NSF-16-37"	"B2/L2"	"Mammalia"	"Rodentia"	"cf. Heteromyidae"	""	""	""	"worn upper right dP4"	"large for Dipodomys"	""	""	"cf. Heteromyidae"	"1"
"50"	"NSF-16-38"	"B2/L2"	"Mammalia"	"???"	""	""	""	""	"tooth"	""	""	""	"Mammalia-???"	"1"
"51"	"NSF-16-39"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower m1"	"anterior and posterior loops broken"	""	"LACMP23-28129"	"Mammalia-Rodentia"	"1"
"52"	"NSF-16-40"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"partial tooth"	""	""	"LACMP23-28130"	"Mammalia-Lagomorpha"	"1"
"53"	"NSF-16-41"	"B2/L2"	"Insecta"	"Hymenoptera"	"Formicidae"	""	""	""	"ant cranium"	"Exceptionally well preserved"	""	""	"Formicidae"	"1"
"54"	"NSF-16-42"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	"sp."	"molar fragment"	""	""	"LACMP23-28131"	"cf. Microtus sp."	"1"
"55"	"NSF-16-43"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf. Otospermophilus"	"beecheyi"	"lower molar fragment"	""	""	"LACMP23-28132"	"cf. Otospermophilus beecheyi"	"1"
"56"	"NSF-16-44"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf. Peromyscus"	""	"lower left m1"	"caked w/ matrix"	""	"LACMP23-28133"	"Mammalia-Rodentia"	"1"
"57"	"NSF-16-45"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper right M1"	""	""	"LACMP23-28134"	"Microtus sp."	"1"
"58"	"NSF-16-46"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf. megalotis"	"upper left M1"	""	""	"LACMP23-28135"	"Reithrodontomys cf. megalotis"	"1"
"59"	"NSF-16-47"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf. Reithrodontomys"	""	"lower (right?) m2"	"heavily worn"	""	"LACMP23-28136"	"Mammalia-Rodentia"	"1"
"60"	"NSF-16-48"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper left P4"	""	""	"LACMP23-28137"	"Otospermophilus cf. beecheyi"	"1"
"61"	"NSF-16-49"	"B2/L2"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp."	"upper left M1/M2"	""	""	"LACMP23-28138"	"Dipodomys sp."	"1"
"62"	"NSF-16-50"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"partial molar"	""	""	"LACMP23-28139"	"Mammalia-Rodentia"	"1"
"63"	"NSF-16-51"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"partial molar"	""	""	"LACMP23-28140"	"Mammalia-Rodentia"	"1"
"64"	"NSF-16-52"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"partial molar"	""	""	"LACMP23-28141"	"Mammalia-Rodentia"	"1"
"65"	"NSF-16-53"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"partial lower right molar"	"anterior broken"	""	"LACMP23-28142"	"Microtus sp."	"1"
"66"	"NSF-16-54"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	""	"upper right tooth"	""	""	"LACMP23-28143"	"Mammalia-Lagomorpha"	"1"
"67"	"NSF-16-55"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-28144"	"Mammalia-Lagomorpha"	"1"
"68"	"NSF-16-56"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	""	""	"tooth frag"	""	""	"LACMP23-28145"	"Leporidae"	"1"
"69"	"NSF-16-57"	"B2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper P2"	""	""	"LACMP23-28146"	"Sylvilagus sp."	"1"
