"taxon_list","mean_bio_1","median_bio_1","var_bio_1","sd_bio_1","max_bio_1","min_bio_1","mean_bio_4","median_bio_4","var_bio_4","sd_bio_4","max_bio_4","min_bio_4","mean_bio_5","median_bio_5","var_bio_5","sd_bio_5","max_bio_5","min_bio_5","mean_bio_6","median_bio_6","var_bio_6","sd_bio_6","max_bio_6","min_bio_6","mean_bio_12","median_bio_12","var_bio_12","sd_bio_12","max_bio_12","min_bio_12","mean_bio_13","median_bio_13","var_bio_13","sd_bio_13","max_bio_13","min_bio_13","mean_bio_14","median_bio_14","var_bio_14","sd_bio_14","max_bio_14","min_bio_14","mean_bio_15","median_bio_15","var_bio_15","sd_bio_15","max_bio_15","min_bio_15","AdultBodyMass_g"
"M.californicus",13.6580158283479,14.4735412597656,13.5722697393126,3.6840561531161,24.0087909698486,-1.15091669559479,594.92675077258,625.089904785156,16188.0803061352,127.23238701736,970.361511230469,163.205001831055,31.345321173897,31.4330005645752,18.6607993079563,4.31981473074439,45.6580009460449,16.1450004577637,0.48400753971258,1.35000002384186,12.4334505526565,3.52610983275571,8.85280895233154,-13.7670001983643,667.7524905911,532,179997.534385403,424.261162947309,2039,58,122.325880008855,102,5606.74497445238,74.8782009295922,357,11,3.94753154748727,2,20.5855989762521,4.53713554748501,26,0,80.0160205385868,83.1300048828125,151.328889546497,12.3015807742947,108.915161132812,30.3617324829102,57.42
"N.macrotis",14.3985546244097,15.4376668930054,18.5860435522764,4.31115339001948,23.4015827178955,-1.0165833234787,574.768455481238,618.7216796875,19004.8308096623,137.858009595606,844.071350097656,163.205001831055,31.355735383204,31.628999710083,22.9126069354886,4.78671149490844,43.1370010375977,16.4650001525879,1.03335387455503,1.7849999666214,19.3515466330136,4.3990392852319,8.85280895233154,-13.8090000152588,451.413917758699,388,63700.3918857744,252.389365635271,1392,69,84.3014008133755,76,2108.03434252146,45.9133351274057,253,13,2.63759602349751,1,12.8948245980312,3.59093645140529,20,0,80.8449440002441,82.4945983886719,134.550281108617,11.5995810747034,108.915161132812,48.4749946594238,225.74
"O.beecheyi",12.1396057675115,11.8434166908264,16.6071738044162,4.07519003292069,22.9103336334229,-1.15091669559479,594.853102348782,619.439025878906,15615.4595951096,124.961832553422,955.054077148438,163.205001831055,29.8245668872174,29.7242650985718,20.9396847052704,4.57599002460346,45.1110000610352,15.3800001144409,-0.646372643247675,0.523000001907349,16.7943696403716,4.09809341528126,8.85280895233154,-13.83899974823,801.88679245283,611,314105.478835551,560.451138669154,3084,67,141.556168359942,112,9141.55969848232,95.6115040070091,520,12,7.09579100145138,4,56.6402638901208,7.52597262087239,44,0,74.9606720435775,77.0281982421875,203.025098529936,14.2486876072829,108.915161132812,16.2743034362793,597.82
"S. bachmani",15.0673804172576,15.2028331756592,18.3957844025258,4.28903070664291,24.4109573364258,1.56749999523163,526.124535856347,527.126953125,15109.5897325531,122.921071149551,814.346435546875,163.205001831055,31.2343848604893,31.6389999389648,21.1451728848011,4.59838807461931,43.0799980163574,18.9090003967285,2.7106413779906,2.07200002670288,13.5676402063556,3.68342777944072,11.9969997406006,-8.9689998626709,722.148166583707,484,375393.150130641,612.693357341697,3084,54,132.146839223494,97,10492.0439839507,102.4306789197,520,10,5.08860129417621,1,61.2175052952058,7.82416163529395,43,0,81.5226989544821,81.4310531616211,228.373397040696,15.1120282239247,138.263549804688,48.4277801513672,714.53
"S.latimanus",11.7762207671233,11.8839373588562,18.8789781867164,4.34499461296748,23.4015827178955,-1.0165833234787,620.315540640874,650.782501220703,15349.1154281038,123.891547040562,856.725891113281,163.205001831055,30.2301054114341,29.9160003662109,18.1827000577125,4.26411773497315,43.1079978942871,16.4650001525879,-1.70602372229604,-0.579999983310699,22.0227886296248,4.69284440713996,8.85280895233154,-13.8090000152588,652.270824784571,521.5,150884.238972149,388.438204830768,1991,65,116.371153057037,96,5296.42921898621,72.7765705360332,357,11,5.48153467377924,4,21.9230121322881,4.68220163302352,25,0,73.2987239929218,79.258731842041,344.847510766283,18.5700702951357,108.915161132812,17.3019695281982,62.46
"P.californicus",15.3436288978338,15.6315412521362,9.46643299921738,3.07675689634677,23.4015827178955,1.66537499427795,552.75514538942,571.352478027344,17906.7746126784,133.81619712381,792.87060546875,163.205001831055,31.961885249451,32.0480003356934,17.9831584731367,4.24065542966376,43.1370010375977,19.9549999237061,2.14921002298344,2.32699990272522,9.49878460763329,3.08200983250107,8.85280895233154,-11.8669996261597,413.433761630483,377,41228.1659341151,203.047201246693,1125,63,79.0722197607443,74,1548.28423234885,39.3482430655912,198,10,1.55649091714665,1,3.03503874470913,1.74213625893876,17,0,82.7573812177977,85.3370590209961,128.305104921873,11.3271843333581,108.915161132812,54.6880035400391,42.68
