"OlderEventAge","YoungerEventAge","mean","median","max","min","sd"
46340,34420,1.95820759698439,1.96397101449275,2.60222580645161,1.24656842105263,0.296132610886579
57470,29780,1.93693267221281,1.91087242026266,2.60222580645161,1.15140490797546,0.313577751096241
49830,34670,1.91325133025837,1.88008653846154,2.60222580645161,1.24656842105263,0.282029276154409
53960,28430,1.97248814659922,1.96570731707317,2.61725,1.15140490797546,0.324299079505283
