ABF updated museum database as of 3.6.2020 If you need to make additional changes please contact me with specifics										
RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References	Notes
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-746	Persicaria lapathifolia	2	seed	Previously identified as Cyperaceae (7/10/19)	LACMP23-39732	seed samples	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-747	Sisyrinchium bellum 	1	seed		LACMP23-39733	Seed samples 	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-748	Adenostoma fasciculatum	1	seed		LACMP23-39734	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-749	Juniperus californica 	735	seed		LACMP23-39735	Jesse	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-750	Juniperus sp. 	101	seed		LACMP23-39736	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-751	Platanus racemosa 	11	seed		LACMP23-39737	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-752	Juniperus californica 	2	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39738	Calscape	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-753	Xanthium strumarium 	0.5	seed		LACMP23-39739	USDA 	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-754	Solidago canadensis 	3	seed		LACMP23-39740	seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-755	Ambrosia psilostachya 	0.5	seed	short dull horn at top of seed surrounded by shorter bumps	LACMP23-39741	(https://www.invasive.org/browse/detail.cfm?imgnum=5455869)	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-756	Persicaria lapathifolia	17	seed	Previously identified as Cyperaceae (7/10/19)	LACMP23-39742	seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-757	Purshia tridentata	8	seed		LACMP23-39743	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-758	Pinus radiata	1	seed	Same as JG-18	LACMP23-39744	seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-759	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39745	 (http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-760	Hesperocyparis macrocarpa	1	seed		LACMP23-39746	Calflora, Calscape 	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-761	Juniperus californica 	1	fruit 	Calscape 	LACMP23-39747	Calscape 	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-762	Berberis aquifolium	1	seed		LACMP23-39748	Calflora, seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-763	Rosa californica 	1	seed		LACMP23-39749	seed samples, Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-764	Juniperus californica 	260	seed		LACMP23-39750	Jesse	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-765	Arctostaphylos viscida	0.5	seed	Previously identified as Arctostaphylos pungens (7/10/19)	LACMP23-39751	Seed samples, Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-766	Juniperus sp. 	105	seed		LACMP23-39752	Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-767	Solidago canadensis 	3	seed		LACMP23-39753	Seed samples	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-768	Xanthium strumarium 	2	seed		LACMP23-39754	Seed samples	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-769	Juniperus californica 	3	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39755	Calflora	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-770	Potamogeton alpinus 	118	seed	line around margin, shape, size 	LACMP23-39756	Seed samples 	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-771	Platanus racemosa 	28	seed		LACMP23-39757	Seed samples, Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-772	Alopecurus aequalis	2	glume 		LACMP23-39758	Bekker pg. 196	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-773	Berberis aquifolium	1	seed	Previously identified as Berberis hamatocarpa (7/10/19)	LACMP23-39759	Calflora, seed samples	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-774	Cyperaceae	58	seed		LACMP23-39760	Seed samples 	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-775	Purshia tridentata	10	seed		LACMP23-39761	Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-776	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39762	(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-777	Hesperocyparis macrocarpa	39	seed		LACMP23-39763	Callfora, Calscape	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-778	Hesperocyparis macrocarpa	3	cone fragments 		LACMP23-39764	Callfora, Calscape	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-779	Turtle scute	3	Turtle scute 		not being cataloged	Turtle Scute	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-780	Juniperus californica 	28	seed		LACMP23-39765	Jesse	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-781	Dichondra occidentalis 	12	seed		LACMP23-39766	seed samples, Calflora	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-782	Platanus racemosa 	1	seed		LACMP23-39767	Seed samples, Santa Ana Botanic Garden	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-783	Juniperus sp. 	89	seed		LACMP23-39768	Santa Ana Botanic Garden	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-784	Juniperus californica 	12	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39769	Calflora 	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-785	Quercus chrysolepis	2	immature acorn caps		LACMP23-39770	(https://www.flickr.com/photos/treebeard/32337119826)	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-786	Xanthium strumarium 	1	seed		LACMP23-39771	Seed samples	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-787	Alopecurus aequalis	3	glume 		LACMP23-39772	Bekker pg. 196	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-788	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39773	(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-789	Solidago canadensis 	1	seed		LACMP23-39774	Seed samples	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-790	Angelica kingii 	3	seed		LACMP23-39775	Seed samples, Calflora 	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-791	Cornus sericea 	1	seed		LACMP23-39776	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-792	Juniperus californica 	23	seed		LACMP23-39777	Jesse	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-793	Rumex salicifolius 	1	seed	Same as JG-139	LACMP23-39778	Seed sample	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-794	Dichondra occidentalis 	1	seed		LACMP23-39779	Seed samples, Calflora 	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-795	Cyperaceae	1	seed		LACMP23-39780	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-796	Juniperus sp. 	10	seed		LACMP23-39781	Santa Ana Botanic Garden	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-797	Platanus racemosa 	7	seed		LACMP23-39782	Seed samples, Santa Ana Botanic Garden	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-798	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39783	(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-799	Solidago canadensis 	2	seed		LACMP23-39784	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-800	Potamogeton alpinus 	4	seed		LACMP23-39785	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-801	Juniperus californica 	1	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39786	Calflora	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-802	Hesperocyparis macrocarpa	1	seed		LACMP23-39787	Calflora, Calscape 	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-803	Angelica kingii 	1	seed		LACMP23-39788	Seed samples, Calflora 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-804	Juniperus californica 	35	seed		LACMP23-39789	Jesse	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-805	Bone	1	bone		not being cataloged	Bone	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-806	Xanthium strumarium 	1	seed		LACMP23-39790	Seed samples	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-807	Atriplex lentiformis	1	seed		LACMP23-39791	Seed samples, Calflora 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-808	Juniperus sp. 	28	seed		LACMP23-39792	Santa Ana Botanic Garden	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-809	Juniperus californica 	9	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39793	Calscape 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-810	Potamogeton alpinus 	8	seed		LACMP23-39794	Seed samples 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-811	Hesperocyparis macrocarpa	1	seed		LACMP23-39795	Calflora, Calscape 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-812	Cyperaceae	2	seed		LACMP23-39796	Seed samples	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-813	Dichondra occidentalis 	5	seed		LACMP23-39797	Seed samples, Calflora 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-814	Rumex salicifolius 	1	seed		LACMP23-39798	Seed samples 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-815	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39799	Calscape 	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-816	Juniperus californica 	23	seed		LACMP23-39800	Jesse	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-817	Ribes divaricatum	1	seed		LACMP23-39801	(https://plants.usda.gov/gallery/pubs/ridi_001_php.jpg), seed samples	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-818	Eschscholzia californica 	1	seed		LACMP23-39802	Seed samples	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-819	Xanthium strumarium 	2	seed		LACMP23-39803	Seed samples	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-820	Juniperus californica 	3	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39804	Calscape 	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-821	Juniperus sp. 	11	seed		LACMP23-39805	Santa Ana Botanic Garden	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-822	Alopecurus aequalis	1	glume 		LACMP23-39806	Bekker pg. 196	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-823	Platanus racemosa 	3	seed		LACMP23-39807	Seed samples, Santa Ana Botanic Garden	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-824	Potamogeton alpinus 	6	seed		LACMP23-39808	Seed samples	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-825	Angelica kingii 	1	seed		LACMP23-39809	Seed samples, calflora 	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-826	Bone	1	bone		not being cataloged	bone	
P23 38319	Box 7B grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-827	Hesperocyparis macrocarpa	1	seed		LACMP23-39810	Calflora, Calscape 	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-828	Juniperus californica 	11	seed		LACMP23-40714	Jesse	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-829	Arctostaphylos viscida	0.5	seed	Previously identified as Arctostaphylos pungens (7/10/19)	LACMP23-40715	Seed samples, Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-830	Potamogeton nodosus	1	seed		LACMP23-40716	Seed samples	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-831	Platanus racemosa 	2	seed		LACMP23-40717	Seed samples, Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-832	Quercus chrysolepis	2	acorn cap fragments		LACMP23-40718	Calscape	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-833	Juniperus sp. 	44	seed		LACMP23-40719	Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-834	Juniperus californica 	31	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-40720	Calscape 	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-835	Juniperus californica 	3	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-40721	Calscape 	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-836	Potamogeton alpinus 	1	seed		LACMP23-40722	Seed samples	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-837	Hesperocyparis macrocarpa	1	seed		LACMP23-40723	Calflora, Calscape 	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-838	Purshia tridentata	1	seed		LACMP23-40724	Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-839	Sambucus nigra 	2	seed		LACMP23-40725	Seed samples, Santa Ana Botanic Garden	
P23 38321	Box 7B grid B-1 level 5	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-840	Juniperus californica 	26	seed		LACMP23-40726	Jesse	
P23 38321	Box 7B grid B-1 level 5	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-841	Platanus racemosa 	6	seed		LACMP23-40727	Seed samples, Santa Ana Botanic Garden	
P23 38321	Box 7B grid B-1 level 5	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-842	Juniperus sp. 	185	seed		LACMP23-40728	Santa Ana Botanic Garden	
P23 38321	Box 7B grid B-1 level 5	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-843	Hesperocyparis macrocarpa	21	seed		LACMP23-40729	Calflora, Calscape 	
P23 38321	Box 7B grid B-1 level 5	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-844	Juniperus californica 	28	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-40730	Calscape	
