ABF updated museum database as of 3.5.2020 If you need to make additional changes please contact me with specifics									
RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1093	Juniperus californica	7	twig		LACMP23-42056	Calscape
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1094	Platanus racemosa 	9	seed		LACMP23-42057	Seed samples
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1095	Bone	10	bone		not cataloging now	Seed samples
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1096	Juniperus californica (charcoal/ashpalt?)	1	twig		LACMP23-42058	Calscape
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1097	Juniperus californica 	1	bud		LACMP23-42059	Calscape
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1098	Potamogeton nodosus	1	seed		LACMP23-42060	Santa Ana Botanic Garden
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1099	Heteromeles arbutifolia 	1	seed		LACMP23-42061	Seed samples
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1100	Hesperocyparis macrocarpa	1	seed		LACMP23-42062	Seed samples
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1101	Sisyrinchium bellum 	1	seed		LACMP23-42063	Seed samples
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1102	Ambrosia eriocentra 	2	seed		LACMP23-42064	(http://southwestdesertflora.com/WebsiteFolders/All_Species/Asteraceae/Ambrosia_eriocentra.html), seed samples
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1103	Berberis aquifolium 	1	seed		LACMP23-42065	Seed samples
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1104	Juniperus californica 	6	seed		LACMP23-42066	Jesse
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1105	Juniperus sp.	68	seed		LACMP23-42067	Santa Ana Botanic Garden
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1106	Bone	18	bone		not cataloging now	Bone
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1107	Sambucus nigra 	3	seed		LACMP23-42068	Seed samples
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1108	Ambrosia psilostachya 	1	seed		LACMP23-42069	Seed samples
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1109	Persicaria lapathifolia	1	seed		LACMP23-42070	(https://dzn.eldoc.ub.rug.nl/?page=pict&item=3243), seed samples
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1110	Insect wing	1	Insect wing		not cataloging now	Insect wing
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1111	Platanus racemosa 	28	seed		LACMP23-42071	Seed samples
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1112	Alopecurus aequalis	5	glumes		LACMP23-42072	(http://timedoesnotexist.org/Grasses%20of%20Oregon.pdf), calflora 
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1113	Juniperus californica	2	bud		LACMP23-42073	Calscape
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1114	Juniperus californica	5	twig		LACMP23-42074	Calscape
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1115	Solidago canadensis	4	seed		LACMP23-42075	Seed samples
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1116	Arctostaphylos viscida	1	seed		LACMP23-42076	Santa Ana Botanic Garden
P23 39534	Box 13 grid B-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1117	Adenostoma fasciculatum 	2	seed		LACMP23-42077	Santa Ana Botanic Garden
