ABF updated museum database as of 3.5.2020 If you need to make additional changes please contact me with specifics									
RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-998	Salvia apiana 	1	seed		LACMP23-41970	Santa Ana Botanic Garden
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-999	Potamogeton nodosus	1	seed		LACMP23-41971	Seed samples
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1000	Berberis aquifolium 	0.5	seed		LACMP23-41972	Seed samples, Santa Ana Botanic Garden
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1001	Heteromeles arbutifolia 	1	seed		LACMP23-41973	Seed samples
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1002	Viola douglasii	1	seed		LACMP23-41974	Seed samples, Santa Ana Botanic Garden
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1003	Bone	33	Bone		not cataloging now	Bone
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1004	Sisyrinchium bellum 	1	seed		LACMP23-41975	Seed samples
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1005	Juniperus californica 	1	twig		LACMP23-41976	Calscape
P23 39525	Box 13 grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1006	Juniperus californica (charcoal/ashpalt?)	4	twig 		LACMP23-41977	Calscape
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1007	Juniperus californica 	34	seed		LACMP23-41978	Jesse
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1008	Juniperus sp.	3	seed		LACMP23-41979	Seed samples
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1009	Quercus dumosa 	1	acorn cap 		LACMP23-41980	(http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40582)
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1010	Quercus dumosa 	1	immature acorn		LACMP23-41981	Calscape
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1011	Quercus dumosa 	0.25	leaf fragment	hairs on underside of leaf near veins, smooth glossy upperside of leaf	LACMP23-41982	Calflora
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1012	Platanus racemosa 	1	seed		LACMP23-41983	Seed samples
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1013	Bone	20	bone		not cataloging now	Bone
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1014	Quercus lobata 	1	acorn cap	Same as JG-2	LACMP23-41984	(https://ucanr.edu/sites/oak_range/Californias_Rangeland_Oak_Species/Valley_Oak/)
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1015	Arctostaphylos glauca 	2	seed		LACMP23-41985	Seed samples, (https://www.flickr.com/photos/aking1/5909355550)
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1016	Sisyrinchium bellum 	0.5	seed		LACMP23-41986	Seed samples
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1017	Berula erecta	0.5	seed		LACMP23-41987	(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)
P23 39526	Box 13 grid A-3 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1018	Aquilegia formosa	1	seed		LACMP23-41988	(https://wikis.evergreen.edu/pugetprairieplants/index.php/Aquilegia_formosa)
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1019	Juniperus californica 	17	seed		LACMP23-41989	Jesse
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1020	Juniperus sp.	80	seed		LACMP23-41990	Seed samples
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1021	Juniperus californica 	6	twig		LACMP23-41991	Calscape
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1022	Juniperus californica 	1	bud		LACMP23-41992	Calscape
P23 39527	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1023	Juniperus californica (charcoal/ashpalt?)	1	twig		LACMP23-41993	Calscape
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1024	Xanthium strumarium 	2	seed fragments		LACMP23-41994	Seed samples
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1025	Platanus racemosa 	3	seed		LACMP23-41995	Seed samples
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1026	Bone	4	Bone		not cataloging now	Bone
P23 39527	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1027	Berberis aquifolium 	1	seed		LACMP23-41996	Seed samples
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1028	Solidago canadensis	1	seed		LACMP23-41997	Seed samples
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1029	Quercus dumosa 	1	immature acorn and seed		LACMP23-41998	Calscape
P23 39527	Box 13 grid B-2 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1030	Cyperaceae	1	seed		LACMP23-41999	Seed samples
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1031	Juniperus californica 	38	seed		LACMP23-42000	Jesse
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1032	Juniperus sp.	102	seed		LACMP23-42001	Seed samples
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1033	Solidago canadensis	3	seed		LACMP23-42002	Santa Ana Botanic Garden
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1034	Platanus racemosa 	5	seed		LACMP23-42003	Seed samples
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1035	Juniperus californica	12	twig		LACMP23-42004	Calscape
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1036	Juniperus californica	1	bud		LACMP23-42005	Calscape
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1037	Bone	7	bone		not cataloging now	Bone
