RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References	Notes	
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-276	Rhus integrifolia	1	seed	Previously identified as Stachys sp. (7/8/19)		Santa Ana Botanic Garden, seed samples	texture, size (probably Stachys albens)	
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-277	Lupinus excubitus	1	seed	Previously identified as Lathyrus sp. (7/8/19)		Bekker pg. 138, Santa Ana Botanic Garden, Calflora, seed sample	possibly Rumex sp. 	
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-278	Bone	1	seed	Previously identified as Phacelia sp. (7/8/19)		Santa Ana Botanic Garden		
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-279	Persicaria punctata	1	seed	Previously identified as Polygonaceae (7/8/19)		Bekker pg. 226	possibly Persicaria lapathifolia	
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-280	Bone	1	seed	Previously identified as Poterium sp. (7/8/19)		Santa Ana Botanic Garden		
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-281	Trichostema lanceolatum	3	seed	Previously identified as Trichostema sp. (7/8/19)		Santa Ana Botanic Garden		
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-282	Sisyrinchium bellum	1	seed			seed samples, Santa Ana Botanic Garden		
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-283	Barbarea orthoceras	1	seed			Bekker pg. 86, Santa Ana Botanic Garden, seed samples		
P23 35986	Box 1 grid A-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35986_JG-284	Bone	1	Bone			Bone 		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-285	Platanus racemosa	82	seeds			USDA, seed samples		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-286	Angelica tomentosa	2	seed fragments	Previously identified as Apiaceae (7/8/19)		Bekker pg. 31	seed broken into 2 pieces	
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-287	Quercus agrifolia 	1	oak cap	Previously identified as Quercus sp. (7/8/19)		Santa Ana Botanic Garden		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-288	Juniperus californica	12	seed fragments			Jesse		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-289	Juniperus sp. 	130	seeds			Santa Ana Botanic Garden	seed fragments	
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-290	Juniperus sp.	53	seeds			Santa Ana Botanic Garden	whole seeds	
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-291	Quercus garryana	1	acorn cap	Previously identified as Cuppressaceae (7/8/19)		Botany in a day pg. 48	Hollow cone	
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-292	Juniperus californica	1	cone			(http://nathistoc.bio.uci.edu/plants/Cupressaceae/Juniperus%20californica.htm)		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-293	Juniperus californica 	12	twig	Previously identified as Juniperus sp. (7/8/19)		Calscape		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-294	Brassicaceae	1	seed			seed samples, bekker pg. 86	same as #319	
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-295	Juniperus californica 	2	bud	Previously identified as Juniperus sp. (7/8/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-296	Juniperus californica 	7	buds	Previously identified as Juniperus sp. (7/8/19)		Santa Ana Botanic Garden		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-297	rock	3	rock			rock		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-298	Malosma laurina 	1	seed			Calflora		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-299	Ranunculus sp. 	1	seed			seed sample, Santa Ana Botanic Garden, Bekker pg. 233 		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-300	Wood	1	wood	Previously identified as seed (7/8/19)		Santa Ana Botanic Garden		
P23 35990	Box 1 grid A-2 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35990_JG-301	Atriplex argentea	1	seed	Previously identified as Chenopodium sp. (7/8/19)		Santa Ana Botanic Garden, Bekker pg. 23		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-302	Platanus racemosa	7	seed			USDA, seed samples		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-303	Juniperus californica 	5	seed			Jesse		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-304	Juniperus californica 	3	twig	Previously identified as Juniperus sp. (7/8/19)		Calscape		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-305	Charcoal 	10	Charcoal 			Charcoal 		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-306	Rock	22	Rock			Rock		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-307	Cyperaceae	1	seed			Bekker pg. 118, seed samples, Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-308	Juniperus sp. 	172	seeds			Santa Ana Botanic Garden	whole seeds 	
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-309	Juniperus sp. 	119	seeds			Santa Ana Botanic Garden	fragments	
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-310	Solidago canandensis	3	seeds	Previously identified as Solidago sp. (7/8/19)		seed samples, Santa Ana Botanic Garden 		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-311	Alopecurus aequalis	4	Glume 	Previously identified as Poaceae (7/8/19)		Santa Ana Botanic Garden, Bekker pg. 194		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-312	Bone	1	seed	Previously identified as Phacelia (7/8/19)		Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-313	Rosaceae	1	seed	Previously identified to genus (6/5/19)		Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-314	Castela emoryi	1	seed			Santa Ana Boanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-315	Berula erecta 	0.5	seed	Previously identified as Quercus sp. (6/5/19)		Young pg. 230		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-316	Angelica tomentosa	2	seed fragments	Previously identified as Apiaceae (6/5/19)		Bekker pg. 39		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-317	Juniperus californica	1	bud	Previously identified as Cupressaceae (6/5/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-318	Bloomeria crocea	1	seed			Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-319	Adenostoma sparsifolium	1	seed			Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-320	Angelica tomentosa	1	seed	Previously identified as Apiaceae (6/5/19)		Bekker pg. 39		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-321	Lonicera interrupta	1	seed	Previously identified as Lonicera sp. (6/5/19)		Santa Ana Botanic Garden, seed samples		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-322	Brasenia schreberi 	1	seed			seed samples, (https://tmi.laccore.umn.edu/uniqueIdentification/show/136)		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-323	Sambucus nigra 	5	seed	Previously identified as Sambucus sp. (6/5/19)		seed samples, Santa Ana Botanic Garden 		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-324	Rosa woodsii	2	seed	Previously identified as Rosa sp. (6/5/19)		seed sample, Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-325	Ceanothus integerrimus	1	seed	Previously identified as Pinus sp. (6/5/19)		seed sample, Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-326	Perideridia bolanderi	1	seed	Previosusly identified as Apiaceae (7/10/19)		Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-327	Brodiaea elegans	1	seed			Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-328	Cyperaceae	1	seed			Bekker pg. 114		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-329	Cyperaceae	7.5	seed	Previosusly identified to genus (6/5/19)		(http://pierre.legagneux.free.fr/especeang.php?Famille=CYPERACEAE&Nom_ang=Sea+Club-rush&Espece=Scirpus+maritimus+L.)		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-330	Juniperus californica	8	bud	Previosusly identified as Cupressaceae (7/10/19)		http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-331	Vicia hassei	2	seed	Previosusly identified as amaranthaceae (6/5/19)		bekker pg. 20		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-332	Sisyrinchium bellum	1	seed			seed samples, Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-333	Funastrum cynanchoides	1	seed	Previosusly identified as Funastrum (7/10/19)		Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-334	Galium trifidium	1	seed	Previosusly identified to genus (6/5/19)		Santa Ana Botanic Garden		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-335	Quercus dumosa 	1	seed	Previosusly identified as amaranthaceae (6/5/19)		Bekker pg. 27		
P23 35994	Box 1 grid B-1 level 5	heated to 80C biodiesel & cold soaked npropyl bromide	35994_JG-336	Bone	1	seed	Previosusly identified as Malvaceae (6/5/19)		Bekker pg. 171		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-337	Quercus dumosa 	19	acorn caps 	Previosusly identified as Quercus sp. (7/10/19)		Santa Ana Botanic Garden		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-338	Juniperus californica	2	seeds			Jesse		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-339	Platanus racemosa	12	seeds			USDA, seed samples		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-340	Juniperus sp. 	75	seeds			Santa Ana Botanic Garden	whole seeds	
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-341	rocks	60	rocks			rocks		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-342	Juniperus sp. 	70	seeds			Santa Ana Botanic Garden	fragments 	
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-343	Juniperus californica 	38	bud	Previosusly identified as Cupressaceae (7/10/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-344	Solidago canandensis	3	seeds	Previosusly identified as Solidago sp. (7/10/19)		seed samples, Santa Ana Botanic Garden 		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-345	Ambrosia psilostachya	1	flower fragment	Previosusly identified as Poaceae (7/10/19)		Bekker pg. 196		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-346	Arctostaphylos glauca 	2	seed	Previosusly identified as Arctostaphylos sp. (7/10/19)		seed sample, Santa Ana Botanic Garden 		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-347	Angelica tomentosa	1	seed	Previosusly identified as Apiaceae sp. (7/10/19)		Bekker pg. 39		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-348	Pinus contorta 	1	seed			Santa Ana Botanic Garden, seed samples	spotted markings visible 	
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-349	Pinus radiata	1	seed	Previosusly identified as Pinus radiata (7/10/19)		Santa Ana Botanic Garden, seed samples	clear markings, probably Pinus radiata 	
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-350	Cornus sericea	1	seed	Previosusly identified as Cornus sp. (7/10/19)		seed sample, Santa Ana Botanic Garden		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-351	Alopecurus aequalis	2	Glume 	Previosusly identified as Poaceae (7/10/19)		Bekker pg. 196		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-352	bone	3	bone 			bone?		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-353	Scirpus fluviatilis	1	seed			(http://tmitutorials.blogspot.com/2013/02/seed-identification-tutorial.html)	Also called Bolboschoenus fluviatilis	
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-354	Juniperus californica	1	twigs	Previosusly identified as Juniperus sp. (7/10/19)		Calscape		
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-355	Sambucus nigra	1	seed	Previosusly identified as Sanbucus sp. (7/10/19)		Santa Ana Botanic Garden	probably Sambucus racemosa 	
P23 35997	Box 1 grid B-2 level 5	cold soaked npropyl bromide only	35997_JG-356	Vicia hassei	2	seed	Previosusly identified as Brassicaceae sp. (7/10/19)		Bekker pg. 87		
P23 35987	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-357	Ranunculus sceleratus	1	seed			Bekker pg. 233, USDA	 sceleratus	
P23 35987	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-358	Pinus muricata	1	seed	Previosusly identified as Rosa sp. (7/10/19)		Santa Ana Botanic Garden 		
P23 35987	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-359	Ranunculus sp. 	2	seed	Previosusly identified as Heliotropium curassavicum (7/10/19)		Santa Ana Botanic Garden		
P23 35987	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-360	Ambrosia confertiflora	1	seed	Previosusly identified as Aconitum sp. (7/10/19)		Santa Ana Botanic Garden	probably Aconitum columbiana 	
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-361	Juniperus californica 	5	seed			Jesse		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-362	Alnus rhombifolia	1	Catkin scale	Previosusly identified as Betulaceae (7/10/19)		(https://www.minnesotawildflowers.info/tree/paper-birch)		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-363	Plantanus racemosa 	4	seeds			USDA, seed samples		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-364	Alopecurus aequalis	2	Glume 	Previosusly identified as Poaceae (7/10/19)		Bekker pg. 196		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-365	Quercus dumosa	1	acorn cap	Previosusly identified as Quercus sp. (7/10/19)		Santa Ana Botanic Garden, Young pg. 290		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-366	Juniperus californica	7	twigs	Previosusly identified as Juniperus sp. (7/10/19)		Calscape 		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-367	Juniperus californica	8	bud	Previosusly identified as Cupressaceae (7/10/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-368	Sambucus nigra	1	seed	Previosusly identified as Sambucus sp. (7/10/19)		Santa Ana Botanic Garden		
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-369	Juniperus sp. 	94	seeds			Santa Ana Botanic Garden	whole seeds 	
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-370	Juniperus sp. 	68	seeds			Santa Ana Botanic Garden	fragments	
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-371	rocks 	9	rocks			rocks	black lines visible 	
P23 35987 	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-372	Salvia dorrii	1	seed	Previosusly identified as Stachys sp. (7/10/19)		Santa Ana Botanic Garden, seed samples	probably Stachys bullata	
P23 35987	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-373	wood	1	wood	Previosusly identified as seed (7/10/19)		Santa Ana Botanic Garden, seed samples 		
P23 35987	Box 1 grid A-1 level 6	cold soaked npropyl bromide only	35987_JG-374	Bone	1	bone			bone		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-375	Plantanus racemosa 	5	seed			USDA, seed samples		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-376	Bone	1	seed	Previosusly identified as Phacelia sp. (7/10/19)		Santa Ana Botanic Garden		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-377	Juniperus californica 	4	seed			Jesse		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-378	Arctostaphylos viscida	1	seed	Previosusly identified as Arctostaphylos glauca (7/10/19)		seed samples, Santa Ana Botanic Garden		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-379	Solidago canandensis	1	seed			seed samples, Santa Ana Botanic Garden 		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-380	Juniperus californica	2	bud scales	Previosusly identified as Chameocyparis sp. (7/10/19)		(https://commons.wikimedia.org/wiki/File:Chamaecyparis_lawsoniana_seeds.jpg), seed samples		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-381	Alopecurus aequalis	2	Glume 	Previosusly identified as Poaceae (7/10/19)		Bekker pg. 196		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-382	Poaceae	2	Glume 			Bekker pg. 196		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-383	Rhus aromatica 	1	seed	Previosusly identified as Rhus sp. (7/10/19)		seed samples, Santa Ana Botanic Garden 		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-384	Cyperaceae	1	seed			seed samples, bekker pg. 113, Santa Ana Botanic Garden		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-385	rock	7	rock			rock		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-386	Juniperus sp.  	241	seeds			Santa Ana Botanic Garden	whole seeds	
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-387	Juniperus sp. 	71	seeds 			Santa Ana Botanic Garden	fragments	
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-388	Berula erecta 	1/2	seed	Previosusly identified as Apiaceae (7/10/19)		Bekker pg. 31		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-389	Galium hallii	1	seed	Previosusly identified as Smilax sp. (7/10/19)		Santa Ana Botanic Garden 		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-390	Juniperus californica 	5	bud	Previosusly identified as Cupressaceae (7/10/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-391	Sambucus nigra	1	seed	Previosusly identified as Sambucus sp. (7/10/19)		Santa Ana Botanic Garden, seed sample		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-392	Vicia hassei	3	seed	Previosusly identified as Amaranthaceae (7/10/19)		Bekker pg. 20		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-393	Brassicaceae	1/2	seed			bekker pg. 86, seed samples	same as #214	
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-394	Sorbus californica	1	seed	Previosusly identified as Sorbus sp. (7/10/19)		seed samples, Bekker pg. 253, Santa Ana Botanic Garden, The Jepson Herbarium	probably Sorbus californica 	
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-395	Charcoal 	2	charcoal 			charcoal 		
P23 35988	Box 1 grid A-1 level 7	heated to 80C biodiesel & cold soaked npropyl bromide	35988_JG-396	Bone	1	bone			Bone		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-397	Juniperus californica 	7	seed			Jesse		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-398	Platanus racemosa	14	seeds			USDA, seed samples		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-399	Poaceae	1	glume 			Bekker pg. 196		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-400	Charcoal 	27	charcoal 			charcoal		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-401	Cyperaceae	1	seed			Bekker pg. 114, seed samples, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-402	Juniperus californica	12	bud	Previosusly identified as Cupressaceae (7/10/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	 	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-403	Juniperus sp. 	193	seeds			Santa Ana Botanic Garden	whole seeds	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-404	Thysanocarpus laciniatus	10	seeds			Santa Ana Botanic Garden	Middle sections, papery wings are missing	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-405	Juniperus sp. 	83	seeds			Santa Ana Botanic Garden	seed fragments	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-406	Pinus sabiniana	1/2	seed	Previosusly identified as Pinus sp. (7/10/19)		seed samples	Indents are visible 	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-407	bone	1	bone			bone		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-408	Sambucus nigra 	1/2	seed	Previosusly identified as Sambucus sp. (7/10/19)		seed sample, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-409	Allium atrorubens	3	seed	Previosusly identified as Alliaceae (7/10/19)		seed samples, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-410	Asteraceae 	1/2	seed			Bekker pg. 50, Santa Ana Botanic Garden	probably Acamptopappus sp. 	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-411	Salvia dorrii	1	seed	Previosusly identified as Lamiaceae (7/10/19)		Bekker pg. 162, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-412	Asclepias californica 	1	seed	Previosusly identified as Cerastium sp. (7/10/19)	Same as JG-28	Bekker pg. 98, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-413	Berberis aquifolium	2	seed	Previosusly identified as Arctostaphylos sp. (7/10/19)		seed samples, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-414	Rock	18	rock			rock		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-415	Sambucus nigra	1	seed	Previosusly identified as sambucus sp. (7/10/19)		seed sample, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-416	Heteromeles arbutifolia 	1	seed	Previosusly identified as Berberidaceae (7/10/19)		Seed samples, Santa Ana Botanic Garden		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-417	Schoenoplectus californicus	1	seed			Seed samples, USDA	Also called Scirpus californicus 	
