RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References	Notes
P23 38324	Box 7B grid B-2 level 3		JG-914	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38324	Box 7B grid B-2 level 3		JG-915	Pinus muricata 	1	bud			Calscape	
P23 38324	Box 7B grid B-2 level 3		JG-916	Ambrosia eriocentra	1	seed			(http://southwestdesertflora.com/WebsiteFolders/All_Species/Asteraceae/Ambrosia_eriocentra.html), seed samples	
P23 38324	Box 7B grid B-2 level 3		JG-917	Cornus sericea 	1	seed			Seed samples	
P23 38324	Box 7B grid B-2 level 3		JG-918	Sisyrinchium bellum 	1	seed			Seed samples	
P23 38324	Box 7B grid B-2 level 3		JG-919	Turtle scute	5	Turtle scute 			Turtle Scute	
P23 38324	Box 7B grid B-2 level 3		JG-920	Hesperocyparis macrocarpa	54	cone fragments 			Calflora, Calscape 	
P23 38325	Box 7B grid B-2 level 4		JG-921	Juniperus californica 	123	seed			Jesse	
P23 38325	Box 7B grid B-2 level 4		JG-922	Juniperus sp. 	800	seed			Santa Ana Botanic Garden	
P23 38325	Box 7B grid B-2 level 4		JG-923	Xanthium strumarium 	6	seed			Seed samples	
P23 38325	Box 7B grid B-2 level 4		JG-924	Turtle scute	7	Turtle scute 			turtle scute	
P23 38325	Box 7B grid B-2 level 4		JG-925	Bone	18	Bone			Bone	
P23 38325	Box 7B grid B-2 level 4		JG-926	Cyperaceae	4	seed			Seed samples	
P23 38325	Box 7B grid B-2 level 4		JG-927	Hesperocyparis macrocarpa	110	seed			Calflora, Calscape 	
P23 38325	Box 7B grid B-2 level 4		JG-928	Potamogeton alpinus 	18	seed			Seed samples	
P23 38325	Box 7B grid B-2 level 4		JG-929	Dichondra occidentalis 	11	seed			Seed samples, Calflora	
P23 38325	Box 7B grid B-2 level 4		JG-930	Purshia tridentata	2	seed			Santa Ana Botanic Garden	
P23 38325	Box 7B grid B-2 level 4		JG-931	Potamogeton nodosus	1	seed			Seed samples	
P23 38325	Box 7B grid B-2 level 4		JG-932	Platanus racemosa 	1	seed			Sant Ana Botanic Garden	
P23 38325	Box 7B grid B-2 level 4		JG-933	Berula erecta 	2	seed			(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)	
P23 38325	Box 7B grid B-2 level 4		JG-934	Angelica kingii 	1	seed			Seed samples, calflora 	
P23 38325	Box 7B grid B-2 level 4		JG-935	Arctostaphylos glauca 	5	seed			Santa Ana Botanic Garden	
P23 38325	Box 7B grid B-2 level 4		JG-936	Juniperus californica (charcoal/ashpalt?)	5	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38325	Box 7B grid B-2 level 4		JG-937	Juniperus californica 	6	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38325	Box 7B grid B-2 level 4		JG-938	Stachys albens	1	seed			Seed samples, Santa Ana Botanic Garden	
P23 38325	Box 7B grid B-2 level 4		JG-939	Heteromeles arbutifolia 	4	seed			Seed sample, Santa Ana Botanic Garden	
P23 38325	Box 7B grid B-2 level 4		JG-940	Hesperocyparis macrocarpa	15	cone fragments 			Calflora, Calscape 	
P23 38326	Box 7B grid B-2 level 5		JG-941	Juniperus californica 	100	seed			Jesse 	
P23 38326	Box 7B grid B-2 level 5		JG-942	Hesperocyparis macrocarpa	3	cone fragments 			Calflora, Calscape 	
P23 38326	Box 7B grid B-2 level 5		JG-943	Juniperus sp. 	500	seed			Santa Ana Botanic Garden	
P23 38326	Box 7B grid B-2 level 5		JG-944	Hesperocyparis macrocarpa	35	seed			Calflora, Calscape 	
P23 38326	Box 7B grid B-2 level 5		JG-945	Potamogeton alpinus 	21	seed			Seed samples	
P23 38326	Box 7B grid B-2 level 5		JG-946	Dichondra occidentalis 	8	seed			Seed samples, Calflora 	
P23 38326	Box 7B grid B-2 level 5		JG-947	Berula erecta	11	seed			(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)	
P23 38326	Box 7B grid B-2 level 5		JG-948	Juniperus californica (charcoal/ashpalt?)	3	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38326	Box 7B grid B-2 level 5		JG-949	Juniperus californica 	5	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38326	Box 7B grid B-2 level 5		JG-950	Platanus racemosa 	1	seed			Seed samples	
P23 38326	Box 7B grid B-2 level 5		JG-951	Purshia tridentata	1	seed			Santa Ana Botanic Garden	
P23 38326	Box 7B grid B-2 level 5		JG-952	Juniperus californica 	2	bud	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38326	Box 7B grid B-2 level 5		JG-953	Heteromeles arbutifolia 	1	seed			Seed samples, Santa Ana Botanic Garden	
P23 38326	Box 7B grid B-2 level 5		JG-954	Quercus chrysolepis	1	acorn cap fragment			Calscape	
P23 38326	Box 7B grid B-2 level 5		JG-955	Potamogeton nodosus	1	seed			Seed samples	
P23 38326	Box 7B grid B-2 level 5		JG-956	Cyperaceae	1	seed			Seed samples	
P23 38326	Box 7B grid B-2 level 5		JG-957	Solidago canadensis 	1/2	seed			(http://www.mirofoss.com/Organics/Plant_Elongated/Elongated_Articles/CanadaGoldenrod.html)	
P23 38327	Box 7B grid B-2 level 6		JG-958	Juniperus californica	138	seed			Jesse	
P23 38327	Box 7B grid B-2 level 6		JG-959	Cornus sericea 	2	seed			Seed samples	
P23 38327	Box 7B grid B-2 level 6		JG-960	Bone	12	bone			Bone	
P23 38327	Box 7B grid B-2 level 6		JG-961	Hesperocyparis macrocarpa	16	cone fragments 			Calflora, calscape 	
P23 38327	Box 7B grid B-2 level 6		JG-962	Juniperus sp. 	800	seed			Santa Ana Botanic Garden	
P23 38327	Box 7B grid B-2 level 6		JG-963	Hesperocyparis macrocarpa	66	seed			Calflora, calscape 	
P23 38327	Box 7B grid B-2 level 6		JG-964	Juniperus californica (charcoal/ashpalt?)	16	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38327	Box 7B grid B-2 level 6		JG-965	Juniperus californica 	20	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38327	Box 7B grid B-2 level 6		JG-966	Potamogeton alpinus 	23	seed			Seed samples	
P23 38327	Box 7B grid B-2 level 6		JG-967	Alopecurus aequalis	4	glume 			(http://timedoesnotexist.org/Grasses%20of%20Oregon.pdf), calflora 	
P23 38327	Box 7B grid B-2 level 6		JG-968	Purshia tridentata	4	seed			Santa Ana Botanic Garden	
P23 38327	Box 7B grid B-2 level 6		JG-969	Platanus racemosa 	1	seed			Seed samples	
P23 38327	Box 7B grid B-2 level 6		JG-970	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)		Calscape	
